PLU|KEMASAN|BARCODE|QTY|TGL_BERLAKU
10000053|CTN|18992946121019|12|07/09/2021
10000107|CTN|0738989714044|24|07/09/2021
10000107|CTN|8997225200044|24|07/09/2021
10000178|CTN|38992628020146|6|07/09/2021
10000181|CTN|28992628010133|4|07/09/2021
10000184|CTN|10089686010043|40|07/09/2021
10000185|CTN|10089686010524|40|22/07/2021
10000210|CTN|08999999010133|48|22/07/2021
10000210|CTN|8999999084950|48|22/07/2021
10000210|CTN|28719200171750|48|22/07/2021
10000343|BOX|8992761119034|4|07/09/2021
10000405|CTN|18998009010610|12|22/07/2021
10000426|CTN|18886008101098|12|22/07/2021
10000442|CTN|18993496106518|6|22/07/2021
10000507|CTN|18994357010012|20|22/07/2021
10000652|CTN|10089686010012|40|22/07/2021
10000653|CTN|18994357010029|30|22/07/2021
10000688|CTN|8992761137014|12|22/07/2021
10000689|CTN|8992761137038|12|22/07/2021
10000690|CTN|8992761137052|12|22/07/2021
10000713|CTN|10089686010104|40|22/07/2021
10000861|CTN|10089686060123|24|22/07/2021
10000955|CTN|03323908|12|22/07/2021
10000975|CTN|10089686060024|24|22/07/2021
10002307|CTN|18992753006929|24|22/07/2021
10002307|CTN|18992753177100|24|22/07/2021
10002307|CTN|18992753172204|24|22/07/2021
10002560|CTN|10089686010340|40|22/07/2021
10002595|CTN|8886057015516|50|22/07/2021
10002835|CTN|1888890415000|40|22/07/2021
10002965|CTN|8999988888187|48|22/07/2021
10003359|CTN|08999999012977|12|22/07/2021
10003359|CTN|66555899011260|12|22/07/2021
10003372|CTN|18992702005928|24|22/07/2021
10003373|CTN|18992702005942|24|22/07/2021
10003374|CTN|10089686017073|40|22/07/2021
10003389|CTN|8991102800037|24|22/07/2021
10003397|CTN|18992753006905|24|22/07/2021
10003397|CTN|18992753174208|24|22/07/2021
10003411|CTN|10089686060161|24|22/07/2021
10003426|CTN|18992702005973|24|22/07/2021
10003427|CTN|8886057010306|50|22/07/2021
10003434|CTN|18992727000311|12|22/07/2021
10003435|CTN|10089686014287|40|22/07/2021
10003517|CTN|10089686010821|40|22/07/2021
10003517|CTN|10089686010944|40|22/07/2021
10003580|CTN|18997035563428|24|22/07/2021
10003627|CTN|8999988888712|24|22/07/2021
10003645|CTN|18998866679661|12|22/07/2021
10003646|CTN|18998866679609|12|22/07/2021
