 kode,nama,bin_kode,recid,type,ftunai,minblj,maxtunai,klptunai,card_code,fee_tunai,flag_debit,mxdebit,kel_debit,fee_debit,pcttunai,pctdebit,tup_tun,tup_dbt,cabang,issuer,metode_tran,virtual
"B01","BCA FLAZZ (PREPAID CARD)","000000","1","D","N","1","1","1","","1","N","1","1","1","Y","Y","1","1","","BCA FLAZZ (PREPAID CARD)","TAP","N"
"B01","BCA CASH SILVER (DENGAN NAMA)","01410001","","D","","10000","1000000","50000","","1","","5000000","1","1","N","N","1","1","","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","Y"
"B01","BCA PASSPOR","014110","","D","","10000","1000000","50000","","1","","5000000","1","1","N","N","1","1","","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","Y"
"B01","BCA CASH SILVER (TANPA NAMA)","01412001","","D","","10000","1000000","50000","","1","","5000000","1","1","N","N","1","1","","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","Y"
"B01","BCA CASH GOLD (DENGAN NAMA)","01420001","","D","","10000","1000000","50000","","1","","5000000","1","1","N","N","1","1","","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","Y"
"B01","BCA PASSPOR","014210","","D","N","10000","1000000","50000","","1","N","5000000","1","1","Y","Y","1","1","","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","Y"
"B01","BCA CASH GOLD (TANPA NAMA)","01422001","","D","","10000","1000000","50000","","1","","5000000","1","1","N","N","1","1","","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","Y"
"B01","DEBIT TABUNGANKU BCA","014400","","D","N","10000","1000000","50000","","1","N","5000000","1","1","Y","Y","1","1","","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","Y"
"B01","BCA FLAZZ (NOMOR 014500)","014500","","D","","1","1","1","","1","","5000000","1","1","N","N","1","1","","BCA FLAZZ (PREPAID CARD)","TAP","Y"
"B01","BCA FLAZZ (NOMOR 014501)","014501","","D","N","1","1","1","","1","N","1","1","1","Y","Y","1","1","","BCA FLAZZ (PREPAID CARD)","TAP","Y"
"B01","BCA FLAZZ (NOMOR 014520)","014520","","D","N","1","1","1","","1","N","1","1","1","Y","Y","1","1","","BCA FLAZZ (PREPAID CARD)","TAP","Y"
"B01","TES TOP UP FLAZZ","014555","","D","N","1","1","1","","1","N","1","1","1","Y","Y","1","1","","BCA FLAZZ (PREPAID CARD)","TAP","N"
"B01","BCA TAPRES","014800","","D","","10000","1","1","","1","","5000000","1","1","N","N","1","1","","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","Y"
"B01","BCA FLAZZ COMBI SILV/GOLD/PLAT","1","1","K","N","100000","1","1","","1","N","5000000","1","1","Y","Y","1","1","","BCA FLAZZ (PREPAID CARD)","","N"
"B01","DEBIT GPN BCA","14100","","D","N","10000","1","1","","1","N","5000000","1","1","Y","Y","1","1","","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","Y"
"B01","DEBIT GPN BCA","14120","","D","N","10000","1","1","","1","N","5000000","1","1","Y","Y","1","1","","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","Y"
"B01","DEBIT GPN BCA","14178","","D","N","10000","1","1","","1","N","5000000","1","1","Y","Y","1","1","","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","Y"
"B01","DEBIT GPN BCA","14200","","D","N","10000","1","1","","1","N","5000000","1","1","Y","Y","1","1","","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","Y"
"B01","DEBIT GPN BCA","14220","","D","N","10000","1","1","","1","N","5000000","1","1","Y","Y","1","1","","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","Y"
"B01","DEBIT GPN BCA","14810","","D","N","10000","1","1","","1","N","5000000","1","1","Y","Y","1","1","","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","Y"
"B01","DEBIT GPN BCA","14900","","D","N","10000","1","1","","1","N","5000000","1","1","Y","Y","1","1","","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","Y"
"B01","BCA CARD PLATINUM","168870","","K","N","100000","1","1","","1","N","5000000","1","1","Y","Y","1","1","","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","N"
"B01","BCA KARTU KREDIT INDOMARET","168888","","K","N","75000","1","1","","1","N","5000000","1","1","Y","Y","1","1","G009","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","N"
"B01","BCA KARTU KREDIT INDOMARET","168888","","K","N","75000","1","1","","1","N","5000000","1","1","Y","Y","1","1","G020","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","N"
"B01","BCA KARTU KREDIT INDOMARET","168888","","K","N","75000","1","1","","1","N","5000000","1","1","Y","Y","1","1","G026","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","N"
"B01","BCA KARTU KREDIT INDOMARET","168888","","K","N","75000","1","1","","1","N","5000000","1","1","Y","Y","1","1","G027","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","N"
"B01","BCA KARTU KREDIT INDOMARET","168888","","K","N","75000","1","1","","1","N","5000000","1","1","Y","Y","1","1","G030","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","N"
"B01","BCA KARTU KREDIT INDOMARET","168888","","K","N","75000","1","1","","1","N","5000000","1","1","Y","Y","1","1","G033","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","N"
"B01","BCA KARTU KREDIT INDOMARET","168888","","K","N","75000","1","1","","1","N","5000000","1","1","Y","Y","1","1","G034","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","N"
"B01","BCA KARTU KREDIT INDOMARET","168888","","K","N","75000","1","1","","1","N","5000000","1","1","Y","Y","1","1","G080","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","N"
"B01","BCA KARTU KREDIT INDOMARET","168888","","K","N","75000","1","1","","1","N","5000000","1","1","Y","Y","1","1","G089","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","N"
"B01","BCA KARTU KREDIT INDOMARET","168888","","K","N","75000","1","1","","1","N","5000000","1","1","Y","Y","1","1","G105","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","N"
"B01","BCA KARTU KREDIT INDOMARET","168888","","K","N","75000","1","1","","1","N","5000000","1","1","Y","Y","1","1","G107","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","N"
"B01","BCA KARTU KREDIT INDOMARET","168888","","K","N","75000","1","1","","1","N","5000000","1","1","Y","Y","1","1","G113","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","N"
"B01","BCA KARTU KREDIT INDOMARET","168888","","K","N","75000","1","1","","1","N","5000000","1","1","Y","Y","1","1","G116","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","N"
"B01","BCA KARTU KREDIT INDOMARET","168888","","K","N","75000","1","1","","1","N","5000000","1","1","Y","Y","1","1","G117","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","N"
"B01","BCA KARTU KREDIT INDOMARET","168888","","K","N","75000","1","1","","1","N","5000000","1","1","Y","Y","1","1","G137","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","N"
"B01","BCA KARTU KREDIT INDOMARET","168888","","K","N","75000","1","1","","1","N","5000000","1","1","Y","Y","1","1","G301","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","N"
"B01","BCA KARTU KREDIT INDOMARET","168888","","K","N","75000","1","1","","1","N","5000000","1","1","Y","Y","1","1","G305","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","N"
"B01","BCA KARTU KREDIT INDOMARET","168888","","K","N","75000","1","1","","1","N","5000000","1","1","Y","Y","1","1","G801","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","N"
"B01","BCA KARTU KREDIT INDOMARET","168888","","K","N","75000","1","1","","1","N","5000000","1","1","Y","Y","1","1","","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","N"
"B01","BCA SMART CASH","178880","","K","N","100000","1","1","","1","N","5000000","1","1","Y","Y","1","1","G001","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","N"
"B01","BCA SMART CASH","178880","","K","N","100000","1","1","","1","N","5000000","1","1","Y","Y","1","1","G009","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","N"
"B01","BCA SMART CASH","178880","","K","N","100000","1","1","","1","N","5000000","1","1","Y","Y","1","1","G020","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","N"
"B01","BCA SMART CASH","178880","","K","N","100000","1","1","","1","N","5000000","1","1","Y","Y","1","1","G026","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","N"
"B01","BCA SMART CASH","178880","","K","N","100000","1","1","","1","N","5000000","1","1","Y","Y","1","1","G027","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","N"
"B01","BCA SMART CASH","178880","","K","N","100000","1","1","","1","N","5000000","1","1","Y","Y","1","1","G030","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","N"
"B01","BCA SMART CASH","178880","","K","N","100000","1","1","","1","N","5000000","1","1","Y","Y","1","1","G033","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","N"
"B01","BCA SMART CASH","178880","","K","N","100000","1","1","","1","N","5000000","1","1","Y","Y","1","1","G034","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","N"
"B01","BCA SMART CASH","178880","","K","N","100000","1","1","","1","N","5000000","1","1","Y","Y","1","1","G080","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","N"
"B01","BCA SMART CASH","178880","","K","N","100000","1","1","","1","N","5000000","1","1","Y","Y","1","1","G089","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","N"
"B01","BCA SMART CASH","178880","","K","N","100000","1","1","","1","N","5000000","1","1","Y","Y","1","1","G105","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","N"
"B01","BCA SMART CASH","178880","","K","N","100000","1","1","","1","N","5000000","1","1","Y","Y","1","1","G107","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","N"
"B01","BCA SMART CASH","178880","","K","N","100000","1","1","","1","N","5000000","1","1","Y","Y","1","1","G113","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","N"
"B01","BCA SMART CASH","178880","","K","N","100000","1","1","","1","N","5000000","1","1","Y","Y","1","1","G116","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","N"
"B01","BCA SMART CASH","178880","","K","N","100000","1","1","","1","N","5000000","1","1","Y","Y","1","1","G117","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","N"
"B01","BCA SMART CASH","178880","","K","N","100000","1","1","","1","N","5000000","1","1","Y","Y","1","1","G137","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","N"
"B01","BCA SMART CASH","178880","","K","N","100000","1","1","","1","N","5000000","1","1","Y","Y","1","1","G301","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","N"
"B01","BCA SMART CASH","178880","","K","N","100000","1","1","","1","N","5000000","1","1","Y","Y","1","1","G305","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","N"
"B01","BCA SMART CASH","178880","","K","N","100000","1","1","","1","N","5000000","1","1","Y","Y","1","1","G801","BCA FLAZZ (PREPAID CARD)","SWIPE/DIP","N"
