PLU|DC|WILAYAH|FLAGPROD|MINOR|TIPE_GDG
10000019|G097|MDO|TBO=N|2|
10000020|G097|MDO||3|
10000021|G097|MDO|TBO=N|8|
10000022|G097|MDO||1|
10000052|G097|MDO||1|
10000053|G097|MDO|TBO=Y|24|
10000060|G097|MDO||2|
10000069|G097|MDO|TBO=Y|2|
10000070|G097|MDO|TBO=Y|2|
10000073|G097|MDO|TBO=Y|4|
10000077|G097|MDO||2|
10000088|G097|MDO||2|
10000090|G097|MDO|TBO=N|1|
10000097|G097|MDO||1|
10000098|G097|MDO||1|
10000101|G097|MDO||1|
10000102|G097|MDO||1|
10000103|G097|MDO||2|
10000104|G097|MDO|TBO=N|6|
10000107|G097|MDO||24|
10000111|G097|MDO||1|
10000116|G097|MDO||1|
10000117|G097|MDO||1|
10000120|G097|MDO||1|
10000126|G097|MDO||1|
10000127|G097|MDO|TBO=N|1|
10000128|G097|MDO|TBO=N|4|
10000129|G097|MDO||1|
10000132|G097|MDO||1|
10000133|G097|MDO||1|
10000135|G097|MDO||1|
10000142|G097|MDO||1|
10000143|G097|MDO||2|
10000144|G097|MDO|TBO=Y|1|
10000146|G097|MDO||4|
10000149|G097|MDO|TBO=Y|1|
10000154|G097|MDO|TBO=Y|2|
10000155|G097|MDO|TBO=Y|2|
10000159|G097|MDO||1|
10000172|G097|MDO||6|
10000175|G097|MDO||2|
10000176|G097|MDO|TBO=N|48|
10000177|G097|MDO|TBO=N|24|
10000178|G097|MDO||12|
10000181|G097|MDO||8|
10000184|G097|MDO|TBO=Y|40|
10000185|G097|MDO|TBO=N|40|
10000188|G097|MDO||1|
10000189|G097|MDO|TBO=N|2|
10000193|G097|MDO||0|
10000197|G097|MDO|TBO=N|5|
10000204|G097|MDO|TBO=Y|1|
10000206|G097|MDO|TBO=N|2|
10000208|G097|MDO||1|
10000210|G097|MDO|TBO=N|2|
10000212|G097|MDO||2|
10000213|G097|MDO|TBO=N|12|
10000234|G097|MDO|TBO=N|1|
10000245|G097|MDO|TBO=Y|1|
10000255|G097|MDO||1|
10000278|G097|MDO|TBO=N|24|
10000279|G097|MDO|TBO=N|1|
10000280|G097|MDO||1|
10000289|G097|MDO|TBO=Y|1|
10000304|G097|MDO||5|
10000305|G097|MDO|TBO=N|1|
10000310|G097|MDO|TBO=N|30|
10000312|G097|MDO|TBO=N|1|
10000313|G097|MDO|TBO=N|1|
10000318|G097|MDO|TBO=N|2|
10000320|G097|MDO||1|
10000322|G097|MDO|TBO=N|6|
10000323|G097|MDO|TBO=N|1|
10000324|G097|MDO||1|
10000341|G097|MDO||1|
10000343|G097|MDO||2|
10000345|G097|MDO||1|
10000348|G097|MDO||1|
10000349|G097|MDO||1|C
10000352|G097|MDO|TBO=Y|1|
10000353|G097|MDO|TBO=Y|1|
10000354|G097|MDO|TBO=Y|1|
10000360|G097|MDO||1|
10000361|G097|MDO||1|
10000405|G097|MDO|TBO=N|12|
10000407|G097|MDO||15|
10000418|G097|MDO||2|
10000425|G097|MDO|TBO=N|2|
10000426|G097|MDO||12|
10000429|G097|MDO||1|
10000430|G097|MDO||2|
10000431|G097|MDO||1|
10000439|G097|MDO||2|
10000442|G097|MDO||12|
10000443|G097|MDO|TBO=N|24|
10000449|G097|MDO|TBO=Y|1|
10000450|G097|MDO||1|
10000451|G097|MDO|TBO=N|2|
10000452|G097|MDO|TBO=Y|1|
10000461|G097|MDO||2|
10000465|G097|MDO||1|
10000475|G097|MDO||1|
10000482|G097|MDO||1|
10000501|G097|MDO||1|
10000507|G097|MDO|TBO=Y|1|
10000508|G097|MDO||1|
10000509|G097|MDO||2|
10000522|G097|MDO|TBO=N|1|
10000525|G097|MDO||1|
10000527|G097|MDO||1|
10000534|G097|MDO||1|
10000542|G097|MDO||6|
10000543|G097|MDO||2|
10000545|G097|MDO||2|
10000548|G097|MDO|TBO=N|1|
10000549|G097|MDO||1|
10000550|G097|MDO||1|
10000552|G097|MDO|TBO=Y|1|
10000553|G097|MDO||1|
10000555|G097|MDO|TBO=Y|9|
10000562|G097|MDO|TBO=Y|2|
10000563|G097|MDO||1|
10000578|G097|MDO||1|
10000579|G097|MDO||1|
10000581|G097|MDO|TBO=Y|1|
10000583|G097|MDO||1|
10000584|G097|MDO|TBO=Y|1|
10000587|G097|MDO||1|
10000607|G097|MDO||2|
10000621|G097|MDO||1|
10000632|G097|MDO||1|C
10000634|G097|MDO||1|
10000637|G097|MDO|TBO=Y|4|
10000638|G097|MDO||1|
10000652|G097|MDO|TBO=N|40|
10000653|G097|MDO|TBO=Y|30|
10000656|G097|MDO||1|
10000657|G097|MDO|TBO=N|1|
10000658|G097|MDO||1|C
10000665|G097|MDO||1|
10000674|G097|MDO||1|
10000675|G097|MDO|TBO=Y|1|
10000679|G097|MDO||1|
10000680|G097|MDO|TBO=Y|1|
10000684|G097|MDO||1|
10000688|G097|MDO||12|
10000689|G097|MDO||12|
10000690|G097|MDO||12|
10000700|G097|MDO||1|
10000704|G097|MDO||1|
10000713|G097|MDO||40|
10000715|G097|MDO||1|
10000719|G097|MDO|TBO=N|1|
10000720|G097|MDO||1|
10000721|G097|MDO||1|
10000724|G097|MDO||2|
10000726|G097|MDO||2|
10000731|G097|MDO||1|
10000734|G097|MDO||1|
10000735|G097|MDO|TBO=Y|1|
10000739|G097|MDO||40|
10000752|G097|MDO||5|
10000753|G097|MDO||4|
10000757|G097|MDO||1|
10000760|G097|MDO||1|
10000763|G097|MDO||1|
10000771|G097|MDO||1|
10000772|G097|MDO||1|
10000798|G097|MDO||1|
10000801|G097|MDO||1|
10000817|G097|MDO||2|
10000859|G097|MDO||2|
10000860|G097|MDO|TBO=N|1|
10000861|G097|MDO|TBO=N|24|
10000955|G097|MDO|TBO=N|1|
10000975|G097|MDO|TBO=N|24|
10000988|G097|MDO||1|
10001014|G097|MDO||1|
10001017|G097|MDO||2|
10001093|G097|MDO||2|
10001094|G097|MDO|TBO=N|30|
10001132|G097|MDO||2|
10001200|G097|MDO||0|
10001291|G097|MDO||2|
10001354|G097|MDO||0|
10001365|G097|MDO||2|
10001414|G097|MDO||1|
10001469|G097|MDO||1|
10001515|G097|MDO||1|
10001516|G097|MDO||1|
10001518|G097|MDO||1|
10001527|G097|MDO||1|
10001636|G097|MDO||3|
10001712|G097|MDO||1|
10001782|G097|MDO||1|
10001826|G097|MDO||8|
10001881|G097|MDO||1|
10001934|G097|MDO||1|
10002047|G097|MDO|TBO=N|1|
10002101|G097|MDO|TBO=N|16|
10002141|G097|MDO||1|
10002246|G097|MDO|TBO=Y|2|
10002258|G097|MDO||1|
10002307|G097|MDO|TBO=N|2|
10002349|G097|MDO|TBO=Y|1|
10002350|G097|MDO||3|
10002532|G097|MDO|BAP=Y|1000|
10002560|G097|MDO|TBO=N|40|
10002564|G097|MDO||1|
10002565|G097|MDO||1|
10002595|G097|MDO|TBO=N|5|
