FTKODE|FTSUBK|FTKNEG|FTNNEG|FTKWAR|FTNWAR|FTKSIZ|FTNSIZ|FTKGBR|FTNGBR|FTRCID|PEMENUHAN_SUPP|FLAG_BYR_DIMUKA|JNS_BYR|DISC|SUPPLIER|FTSUBK1|PLUMD
20047318|FT08|||||||||1|5|Y|TUNAI |0|S4KS|KUNING|20047318
20045722|TP04|||||||||1|5|Y|TUNAI |0|S4KU|PUTIH MERAH|20045722
20046877|GS09|||||||||1|5|Y|TUNAI |0|S46G|HITAM|20046877
20048238|BC04|||||||||1|5|Y|TUNAI |0|S5OH|PUTIH|20048238
20051308|SD03|||||||||1|5|Y|TUNAI |0|S6RO|BLACK|20051308
20053622|SD01|||||||||1|5|Y|TUNAI |0|S6RO|BLACK|20053622
20050075|SM10|||||||||1|5|Y|TUNAI |0|S5OH|GREY|20050075
20051802|SP01|||||||||1|5|Y|TUNAI |0|S5YP|BLACK|20051802
20052693|AD06|||||||||1|5|Y|TUNAI |0|S5YP|GOLD|20052693
20052694|D07 |||||||||1|5|Y|TUNAI |0|S5YP|BLACK|20052694
20054453|MP27|||||||||1|5|Y|TUNAI |0|S5Q1|WHITE BLUE|20054453
20054459|MP33|||||||||1|5|Y|TUNAI |0|S5Q1|WHITE|20054459
20054460|MP34|||||||||1|5|Y|TUNAI |0|S5Q1|BLACK|20054460
20048236|BC02|||||||||1|5|Y|TUNAI |0|S5OH|PUTIH|20048236
20048239|BC05|||||||||1|5|Y|TUNAI |0|S5OH|HITAM|20048239
20054468|MP41|||||||||1|5|Y|TUNAI |0|S5Q1|BLACK|20054468
20054471|TC02|||||||||1|5|Y|TUNAI |0|S5Q1|BLUE|20054471
20054481|TC12|||||||||1|5|Y|TUNAI |0|S5Q1|COFFEE|20054481
20053618|MT03|||||||||1|5|Y|TUNAI |0|S6QT|BLACK|20053618
20054766|EC11|||||||||1|5|Y|TUNAI |0|S79O|BLUE|20054766
20052292|NK05|||||||||1|5|Y|TUNAI |0|S6BT|BLACK|20052292
20051976|MP01|||||||||1|5|Y|TUNAI |0|S5Q1|WHITE RED|20051976
20051981|MP06|||||||||1|5|Y|TUNAI |0|S5Q1|BLACK|20051981
20053092|SP05|||||||||1|5|Y|TUNAI |0|S6H4|HITAM MERAH|20053092
20053094|SP07|||||||||1|5|Y|TUNAI |0|S6H4|MERAH|20053094
20053097|SP10|||||||||1|5|Y|TUNAI |0|S6H4|MERAH|20053097
20052817|WS01|||||||||1|5|Y|TUNAI |0|S5OJ|AILOS|20052817
