PRDCD1|PRDCD2
10003333|10003334
10026484|10026483
10036631|10037807
20000458|20000459
20000458|20067408
20004249|20004250
20005608|20005609
20026991|20026992
20033592|20033588
20036146|20036147
20038378|20038379
20038378|20067409
20046503|20046504
20046901|20046902
20048641|20048645
20048642|20048646
20048643|20048647
20048644|20048648
20054071|20059500
20054071|20067410
20056673|20056672
20056858|20036030
20056858|20056570
20056858|20036029
20056858|20036028
20059943|20059944
20061380|20063286
20061380|20062675
20061380|20062676
20062506|20062507
20063698|20063699
20063700|20063701
20063700|20067411
20065049|20064993
20079899|20072718
20079899|20072719
20079899|20072720
20079958|20078651
20082443|20086244
20092897|20092900
20092898|20092901
20092899|20092902
20092904|20092903
20096628|20096629
20124602|20124603
