FMRCID|FMTGLB|FMKETR|FMTGUP
|01/01/2022|TAHUN BARU|29/12/2021
|01/02/2022|TAHUN BARU IMLEK|29/12/2021
|28/02/2022|ISRA MIKRAJ|29/12/2021
|03/03/2022|HARI RAYA NYEPI|29/12/2021
|15/04/2022|WAFAT ISA ALMASIH|29/12/2021
|02/05/2022|HARI RAYA IDUL FITRI 1443 H|29/12/2021
|03/05/2022|HARI RAYA IDUL FITRI 1443 H|29/12/2021
|16/05/2022|HARI RAYA WAISAK|29/12/2021
|26/05/2022|KENAIKAN ISA ALMASIH|29/12/2021
|01/06/2022|HARI LAHIR PANCASILA|29/12/2021
|09/07/2022|HARI RAYA IDUL ADHA 1443 H|29/12/2021
|30/07/2022|TAHUN BARU HIJRIYAH|29/12/2021
|17/08/2022|HUT REPUBLIK INDONESIA|29/12/2021
|08/10/2022|MAULID NABI MUHAMMAD SAW|29/12/2021
|01/05/2022|HARI BURUH|03/01/2022
|25/12/2022|HARI RAYA NATAL|03/01/2022
