PLU|PLUKONV|PROSENTASE
10002532|20111885|9
10002619|20059985|40
10003222|20087298|35
10003752|20111888|9
10004031|20054820|40
10004042|20111891|9
10004509|20085623|30
10005744|20106751|10
10008532|20054825|15
10011262|20111884|12
10013548|20054821|40
10015971|20087297|40
10017209|20115297|40
10017210|20120463|40
10019160|20054822|30
10019963|20092998|40
10027546|20111860|2
10030571|20054823|30
10037997|20088786|42
10038010|20106752|10
10038011|20054827|40
10038013|20095131|40
10038014|20102217|40
10038015|20059987|40
10038020|20113721|35
10038023|20059986|40
10038025|20090832|70
10038031|20124446|0
10038040|20096160|30
10038054|20111887|10
10038072|10038074|70
10038085|20092345|40
20005194|20111856|10
20014279|20095555|35
20014524|20111853|9
20014988|20091565|35
20015608|20111886|10
20018104|20091542|45
20020671|20088787|7
20027014|20092894|30
20027958|20059983|0
20028354|20054830|0
20028593|20074670|70
20035172|20094032|20
20039133|20111883|24
20041163|20083016|50
20041194|20111859|0
20041572|20106748|10
20043975|20094665|30
20044682|20054826|30
20045007|20054824|15
20048722|20100387|40
20049802|20085264|40
20055151|20059984|0
20065412|20111858|0
20067168|20088981|0
20067471|20111863|0
20068532|20111854|0
20070628|20111857|0
20081467|20111864|0
20088357|20111866|0
20089359|20094476|0
20090049|20124445|0
20092068|20092344|70
20092908|20092999|40
20092909|20093000|40
20092910|20093001|40
20092911|20093002|30
20092913|20118235|15
20092914|20093004|50
20092915|20123449|35
20092922|20093003|40
20094235|20111882|2
20095759|20106750|0
20096580|20118234|15
20098909|20111875|0
20101773|20101799|35
20103496|20117074|0
20109189|20109190|70
20113216|20113217|20
20113714|20113716|40
20117075|20117079|30
20117076|20117080|35
20117077|20117081|35
20117078|20117082|35
20118247|20118236|30
20118248|20118237|30
20118249|20118238|0
20118250|20118239|30
20118251|20118240|30
