KDTOKO;HARIKIRIM;FREQKIRIM;LT
TA1I;XXXXXXX;7;5
TSJJ;XXXXXXX;7;5
FO2L;XXXXXXX;7;5
TO37;XXXXXXX;7;5
FPV5;XXXXXXX;7;5
TGNS;XXXXXXX;7;5
TTSH;XXXXXXX;7;5
T2YF; XXXXXX;6;5
T9QR;XXXXXXX;7;5
TF5V;  X X X;3;5
TUHG;XXXXXXX;7;5
TJHH; XXXXXX;6;5
FODP;XXXXXXX;7;5
TY0F;XXXXXXX;7;5
T9NH;XXXXXXX;7;5
T2CQ;XXXXXXX;7;5
T8RU;XXXXXXX;7;5
TOMR; XXXXXX;6;5
T2DO;XXXXXXX;7;5
TAQ1; XXXXXX;6;5
T0N8; XXXXXX;6;5
TI4C;XXXXXXX;7;5
T5LM;XXXXXXX;7;5
TL29;XXXXXXX;7;5
T0NT; XXXXXX;6;5
T6W2;XXXXXXX;7;5
T2WH;XXXXXXX;7;5
TKD7;XXXXXXX;7;5
TU8P; XXXXXX;6;5
FXEP;XXXXXXX;7;5
T8G8;XXXXXXX;7;5
TC6N;XXXXXXX;7;5
TCVT;XXXXXXX;7;5
T01V;XXXXXXX;7;5
TN7Z; XXXXXX;6;5
TP8R;XXXXXXX;7;5
TXNX;XXXXXXX;7;5
TYQG; XXXXXX;6;5
TKLT;XXXXXXX;7;5
TZL7;XXXXXXX;7;5
T5CA;XXXXXXX;7;5
TWJK;;0;5
TGJ1;;0;5
T7D1;XXXXXXX;7;5
FZON;XXXXX X;6;5
T1BE;XXXXXXX;7;5
TPVX;XXXXXXX;7;5
TPB9;XXXXXXX;7;5
TNG9;XXXXXXX;7;5
FKQE;XXXXXXX;7;5
FAOU;XXXXXXX;7;5
F0QG;XXXXXXX;7;5
TSDM;XXXXXXX;7;5
FMEX;XXXXXXX;7;5
T3XJ;XXXXXXX;7;5
TWTN;XXXXXXX;7;5
TQ2O; XXXXXX;6;5
TAIG;XXXXXXX;7;5
T9NJ;XXXXXXX;7;5
TXAI;XXXXXXX;7;5
TLWS;XXXXXXX;7;5
FQC3;XXXXXXX;7;5
TUZ4;XXXXXXX;7;5
T7QD;XXXXXXX;7;5
TG1F;XXXXXXX;7;5
F1PF;XXXXXXX;7;5
TBDB;XXXXXXX;7;5
T9AQ;;0;5
TZ3Z;XXXXXXX;7;5
FNPR; XXXXXX;6;5
T4DY;;0;5
F84E;XXXXXXX;7;5
FHT2;XXXXXXX;7;5
FMYW;XXXXXXX;7;5
TJN2;XXXXXXX;7;5
TOTU;XXXXXXX;7;5
TJIN;XXXXXXX;7;5
T8GS;XXXXXXX;7;5
T8OM;XXXXXXX;7;5
TSLT; XXXXXX;6;5
TTXG; XXXXXX;6;5
T1BP; XXXXXX;6;5
TG0F;XXXXXXX;7;5
TAS3; XXXXXX;6;5
TSYK;XXXXXXX;7;5
FQ84;  X X X;3;5
TS86;XXXXXXX;7;5
F6WD; XXXXXX;6;5
TS90; XXXXXX;6;5
FN54;XXXXXXX;7;5
T61B;XXXXXXX;7;5
FD43;XXXXXXX;7;5
T84B;XXXXXXX;7;5
T58B;XXXXXXX;7;5
T59B; XXXXXX;6;5
T60B; XXXXXX;6;5
T52D;XXXXXXX;7;5
T5LG;XXXXXXX;7;5
TU6S; XXXXXX;6;5
TUNB;XXXXXXX;7;5
TM5D;XXXXXXX;7;5
FTTM;XXXXXXX;7;5
T6ZO;XXXXXXX;7;5
T6YZ; XXXXXX;6;5
TGEY;XXXXXXX;7;5
T8ND;XXXXXXX;7;5
TOTA;XXXXXXX;7;5
TOLA;XXXXXXX;7;5
TAYI;XXXXXXX;7;5
T6EB;XXXXXXX;7;5
TBOI;XXXXXXX;7;5
T5T3;XXXXXXX;7;5
TPML;XXXXXXX;7;5
TQ8D;XXXXXXX;7;5
T92Q;XXXXXXX;7;5
T93Q;XXXXXXX;7;5
T94Q;XXXXXXX;7;5
TOPS; XXXXXX;6;5
TO73;XXXXXXX;7;5
T7IP;XXXXXXX;7;5
FQW9; XXXXXX;6;5
RBO7;XXXXXXX;7;5
TWKM;XXXXXXX;7;5
TJJU;XXXXXXX;7;5
TC1N; XXXXXX;6;5
FLIX;XXXXXXX;7;5
T2Y2;XXXXXXX;7;5
TKQP; XXXXXX;6;5
TOPY;XXXXXXX;7;5
TMXK;XXXXXXX;7;5
TITB; XXXXXX;6;5
TWN1;XXXXXXX;7;5
TO1A;XXXXXXX;7;5
TADT; XXXXXX;6;5
FD4Z;XXXXXXX;7;5
T6YY;XXXXXXX;7;5
T3JU;XXXXXXX;7;5
T24B; XXXXXX;6;5
T53G;XXXXXXX;7;5
TU0I; XXXXXX;6;5
TXD6;XXXXXXX;7;5
TBOL;XXXXXXX;7;5
TE5J;XXXXXXX;7;5
T14Y;XXXXXXX;7;5
TK2R;XXXXXXX;7;5
TL79; XXXXXX;6;5
TX9Z;XXXXXXX;7;5
TIMP; XXXXXX;6;5
TT3K;XXXXXXX;7;5
T39N; XXXXXX;6;5
TN4C;XXXXXXX;7;5
TCUO;XXXXXXX;7;5
T71P; XXXXXX;6;5
FRJ0;XXXXXXX;7;5
TEHO;XXXXXXX;7;5
T94S;XXXXXXX;7;5
FD81; XXXXXX;6;5
T10D; XXXXXX;6;5
T96D;XXXXXXX;7;5
T97D;XXXXXXX;7;5
T15Q; XX XXX;5;5
T21Q;XXXXXXX;7;5
T13Q; XXXXXX;6;5
T04D;XXXXXXX;7;5
TKU7; XXXXXX;6;5
FU16; XXXXXX;6;5
TSUG;XXXXXXX;7;5
TRV9; XXXXXX;6;5
TA8N;XXXXXXX;7;5
TT1U; XXXXXX;6;5
TYCB;XXXXXXX;7;5
T63T;XXXXXXX;7;5
T83T;XXXXXXX;7;5
F96Q;XXXXXXX;7;5
FKP0;XXXXXXX;7;5
T1Z1; XXXXXX;6;5
T956;XXXXXXX;7;5
FQEG;XXXXXXX;7;5
F556;XXXXXXX;7;5
TC53;XXXXXXX;7;5
F237;XXXXXXX;7;5
TSUI;XXXXXXX;7;5
F010;XXXXXXX;7;5
TB98; XXXXXX;6;5
F724;XXXXXXX;7;5
T971;XXXXXXX;7;5
F251;XXXXXXX;7;5
FQ64;XXXXXXX;7;5
TS96; XXXXXX;6;5
TCZ1;XXXXXXX;7;5
F152;XXXXXXX;7;5
TC25;XXXXXXX;7;5
T3CQ;XXXXXXX;7;5
T190;XXXXXXX;7;5
T211;XXXXXXX;7;5
F18U; XXXXXX;6;5
FE26; XXXXXX;6;5
T02K; XXXXXX;6;5
TU0U;XXXXXXX;7;5
TK00;XXXXXXX;7;5
T98C; XXXXXX;6;5
TPT2;XXXXXXX;7;5
FE27; XXXXXX;6;5
T06C; XXXXXX;6;5
T15K; XXXXXX;6;5
T17K; XXXXXX;6;5
T18K; XXXXXX;6;5
F4DC;XXXXXXX;7;5
TZUT; XXXXXX;6;5
TGRR;XXXXXXX;7;5
