PLU_JUAL|PLU_BHN_BAKU|KET_SPECIAL_REQUEST|SINGKATAN|VALUE_SR|SATUAN|KELOMPOK_SPCL_REQ
20103278|20082341|Less Sugar (70%)|Sugar (70%)|1|gram|Modif Sugar
20103774|20069028|Less Milk (150/U200)|LM (150/U200)|100|ML|Modif Milk
20093433|20069028|Less Milk (150/U200)|LM (150/U200)|50|ML|Modif Milk
20068999|20069664|Tumbler Iced|Tumbler Iced|-1|pcs|Tumbler
20111899|20069644|Sugar 70% (15/U20)|Sugar (15/U20)|7|ml|Modif Sugar
20068992|20069644|No Sugar (0%)|Sugar (X)|27|gram|Modif Sugar
20093432|20069644|Sugar 50% (10/U15)|Sugar (10/U15)|14|ML|Modif Sugar
20069006|20122579|Add Drink Tray (+)|Add Drink Tray|-1|pcs|Packaging
20111898|20069028|Less Milk (150/U200)|LM (150/U200)|50|ml|Modif Milk
20116850|20069644|Sugar 50% (5)|Sugar (5)|7|gram|Modif Sugar
20068995|20069664|Tumbler Iced|Tumbler Iced|-1|pcs|Tumbler
20099875|20069028|Less milk|Milk (-)|1|ML|Modif Milk
20072105|20069028|Less Milk (100/U150)|LM (100/U150)|50|ML|Modif Milk
20069000|20069664|Tumbler Iced|Tumbler Iced|-1|PCS|Tumbler
20069010|20069644|More Sugar (10ml)|Sugar (+)|-14|gram|Modif Sugar
20070437|20069664|Tumbler Iced|Tumbler Iced|-1|PCS|Tumbler
20089517|20069664|Tumbler Iced|Tumbler Iced|-1|PCS|Tumbler
20099875|20069607|Tumbler Hot|Tumbler Hot|-1|PCS|Tumbler
20099880|20069664|Tumbler Iced|Tumbler Iced|-1|PCS|Tumbler
20113310|20069643|Less Ice|Ice (-)|100|gram|Modif Ice
20099875|20069644|More Sugar (10ml)|Sugar (+)|-14|GRAM|Modif Sugar
20079739|20082341|More Palm Sugar (10ml)|Sugar (+)|-14|GRAM|Modif Sugar
20068992|20069644|More Sugar (10ml)|Sugar (+)|-14|gram|Modif Sugar
20099882|20069644|More Sugar (20ml)|Sugar (+)|-27|gram|Modif Sugar
20099883|20069644|More Sugar (20ml)|Sugar (+)|-27|gram|Modif Sugar
20093434|20069644|More Sugar (10ml)|Sugar (+)|-14|gram|Modif Sugar
20068993|20069644|More Sugar (10ml)|Sugar (+)|-14|gram|Modif Sugar
20068997|20069644|More Sugar (10ml)|Sugar (+)|-14|gram|Modif Sugar
20068995|20069644|More Sugar (10ml)|Sugar (+)|-14|gram|Modif Sugar
20095413|20069644|More Sugar (10ml)|Sugar (+)|-14|gram|Modif Sugar
20113309|20069644|More Sugar (10ml)|Sugar (+)|-14|gram|Modif Sugar
20093433|20069644|More Sugar (10ml)|Sugar (+)|-14|ml|Modif Sugar
20103772|20069644|More Sugar (10ml)|Sugar (+)|-14|GR|Modif Sugar
