FMRCID|FMJKON|FMKPLU|FMBPLU|FMNKON|FMSATN|PLUMD1|PLUMD2|FLAGKM|JENIS_OLAHAN|FLAGPROD|PRIORITAS
1|A|20085197|20069026|15|ML      |20085197|20069026|N|||0
1|A|20082648|20069028|200|ml      |20082648|20069028|N|||0
1|A|20082648|20069025|15|ml      |20082648|20069025|N|||0
1|A|20082649|20069028|200|ml      |20082649|20069028|N|||0
1|A|20082649|20082341|16|GRAM    |20082649|20082341|N|||0
1|A|20094647|20082341|12|GRAM    |20094647|20082341|N|||0
1|A|20079739|20069644|15|Gram    |20079739|20069644|N|||0
1|A|20069627|10000088|1|pch     |20069627|10000088|N|||0
1|A|20096476|20096484|1|PCS     |20096476|20096484|N|||0
1|A|20097007|20096484|1|PCS     |20097007|20096484|N|||0
1|A|20087088|20059985|400|gram    |20087088|20059985|N|||0
1|A|20107511|20107506|2||20107511|20107506|N|||0
1|A|20107511|20107507|2||20107511|20107507|N|||0
1|A|20107511|20081742|1||20107511|20081742|N|||0
1|A|20099285|20040897|30|GR      |20099285|20040897|N|||0
1|A|20107508|20107506|1|PCS     |20107508|20107506|N|||0
1|A|20107508|20107507|0||20107508|20107507|N|||0
1|A|20107508|20107507|1|PCS     |20107508|20107507|N|||0
1|A|20107510|20107507|1|PCS     |20107510|20107507|N|||0
1|A|20099285|20054820|400|GR      |20099285|20054820|N|||0
1|A|20099285|20069643|250|GR      |20099285|20069643|N|||0
1|A|20087088|20040897|30|gram    |20087088|20040897|N|||0
1|A|20074670|20074670|200|GRAM    |20074670|20074670|N|||0
1|A|20087087|20040897|30|gram    |20087087|20040897|N|||0
1|A|20087087|20054826|400|gram    |20087087|20054826|N|||0
1|A|20096234|20040897|30|gr      |20096234|20040897|N|||0
1|A|20106472|20040897|30|GR      |20106472|20040897|N|||0
1|A|20106484|20040897|30|GR      |20106484|20040897|N|||0
1|A|20106484|20069643|100|GR      |20106484|20069643|N|||0
1|A|20106484|20096236|3|PCS     |20106484|20096236|N|||0
1|A|20106484|20106486|150|GR      |20106484|20106486|N|||0
1|A|20074272|20069028|150|ML      |20074272|20069028|N|||0
1|A|20074272|20069643|100|GR      |20074272|20069643|N|||0
1|A|20106115|20069777|1|pcs     |20106115|20069777|N|||0
1|A|20101485|20110491|50|GR      |20101485|20110491|N|||0
1|A|20101485|20110494|100|GR      |20101485|20110494|N|||0
1|A|20101485|20110497|65|ML      |20101485|20110497|N|||0
1|A|20101486|20110491|50|GR      |20101486|20110491|N|||0
1|A|20101486|20110494|100|GR      |20101486|20110494|N|||0
1|A|20101486|20110497|65|ML      |20101486|20110497|N|||0
1|A|20101489|20110488|20|GR      |20101489|20110488|N|||0
1|A|20101490|20110491|50|GR      |20101490|20110491|N|||0
1|A|20101491|20110490|30|GR      |20101491|20110490|N|||0
1|A|20074670|20040897|30|GRAM    |20074670|20040897|N|||0
1|A|20096234|20090832|100|gr      |20096234|20090832|N|||0
1|A|20068988|20069777|1|pcs     |20068988|20069777|N|||0
1|A|20068989|20069777|1|pcs     |20068989|20069777|N|||0
1|A|20071969|20069777|1|pcs     |20071969|20069777|N|||0
1|A|20091306|20069776|1|pcs     |20091306|20069776|N|||0
1|A|20079739|20069777|1|pcs     |20079739|20069777|N|||0
1|A|20095412|20069777|1|PCS     |20095412|20069777|N|||0
1|A|20068986|20069777|1|pcs     |20068986|20069777|N|||0
1|A|20068987|20069777|1|pcs     |20068987|20069777|N|||0
1|A|20068992|20069777|1|pcs     |20068992|20069777|N|||0
1|A|20068990|20069777|1|pcs     |20068990|20069777|N|||0
1|A|20068991|20069777|1|pcs     |20068991|20069777|N|||0
1|A|20068993|20069777|1|pcs     |20068993|20069777|N|||0
1|A|20085283|20069777|1|pcs     |20085283|20069777|N|||0
1|A|20085282|20069777|1|pcs     |20085282|20069777|N|||0
1|A|20095413|20069777|1|pcs     |20095413|20069777|N|||0
1|A|20096791|20069777|1|PCS     |20096791|20069777|N|||0
1|A|20093434|20069777|1|PCS     |20093434|20069777|N|||0
1|A|20099874|20069777|1|PCS     |20099874|20069777|N|||0
1|A|20099880|20069777|1|PCS     |20099880|20069777|N|||0
1|A|20106478|20096249|1|PCS     |20106478|20096249|N|||0
1|A|20106479|20096249|1|PCS     |20106479|20096249|N|||0
1|A|20106480|20096249|1|PCS     |20106480|20096249|N|||0
1|A|20106481|20096249|1|PCS     |20106481|20096249|N|||0
1|A|20095885|20081743|2|PCS     |20095885|20081743|N|||0
1|A|20095885|20081742|3|PCS     |20095885|20081742|N|||0
1|A|20099285|20054820|250|GR      |20099285|20054820|N|||0
1|A|20099285|20069643|100|GR      |20099285|20069643|N|||0
1|A|20106127|20069643|25|gr      |20106127|20069643|N|||0
1|A|20099190|20099192|40|GRAM    |20099190|20099192|N|||0
1|A|20099191|20099193|40|GRAM    |20099191|20099193|N|||0
