PLU|TIPEITEM|KELASTOKO|RATIO|LEADTIME|SAFETYSTOCK|JADWAL|JADPENYSTOCK|PERPENYSTOCK|FLAGBAYAR|CABANGTIDAKBAYAR|KODEAKUN|JENISAKUN
20118164|ATK||0|1|1|1,16,24,8|YYYYYYY|1|N||510009|BEBAN PERLENGKAPAN TOKO
20118171|POT||0|1|1|1,16,24,8|YYYYYYY|1|N||510118|BEBAN PERLENGKAPAN PRODUK KHUSUS
20118172|POT||0|1|1|1,16,24,8|YYYYYYY|1|N||510083|BEBAN BAHAN PEMBANTU
20118156|ATK||0|1|1|1,16,24,8|YYYYYYY|1|N||510009|BEBAN PERLENGKAPAN TOKO
20052302|PLS||1|3|7|1,16,24,8|YYYYYYY|1|N||510100|BEBAN KANTONG BELANJA
20054877|PLS||1|3|7|1,16,24,8|YYYYYYY|1|N||510100|BEBAN KANTONG BELANJA
20118162|ATK||0|1|1|1,16,24,8|YYYYYYY|1|N||510009|BEBAN PERLENGKAPAN TOKO
20118168|ATK||0|1|1|1,16,24,8|YYYYYYY|1|N||510118|BEBAN PERLENGKAPAN PRODUK KHUSUS
20118169|ATK||0|1|1|1,16,24,8|YYYYYYY|1|N||510008|BEBAN ALAT TULIS DAN PERCETAKAN
20118170|ATK||0|1|1|1,16,24,8|YYYYYYY|1|N||510008|BEBAN ALAT TULIS DAN PERCETAKAN
20054963|POT||0|30|30|16|YYYYYYY|1|N||510009|BEBAN PERLENGKAPAN TOKO
20118157|ATK||0|3|3|1,16,24,8|YYYYYYY|1|N||510009|BEBAN PERLENGKAPAN TOKO
20118159|ATK||0|1|1|1,16,24,8|YYYYYYY|1|N||510073|BEBAN KEPERLUAN DAPUR
20118160|ATK||0|1|1|1,16,24,8|YYYYYYY|1|N||510073|BEBAN KEPERLUAN DAPUR
20052298|PLS||1|3|7|1,16,24,8|YYYYYYY|1|N||510100|BEBAN KANTONG BELANJA
20052299|PLS||1|3|7|1,16,24,8|YYYYYYY|1|N||510100|BEBAN KANTONG BELANJA
20054878|PLS||1|3|7|1,16,24,8|YYYYYYY|1|N||510100|BEBAN KANTONG BELANJA
20054875|PLS||1|3|7|1,16,24,8|YYYYYYY|1|N||510100|BEBAN KANTONG BELANJA
20118155|POT||0|1|1|1,16,24,8|YYYYYYY|1|N||510009|BEBAN PERLENGKAPAN TOKO
20052300|PLS||1|3|7|1,16,24,8|YYYYYYY|1|N||510100|BEBAN KANTONG BELANJA
20055219|ATK||1|3|7|1,16,24,8|YYYYYYY|1|N||510009|BEBAN PERLENGKAPAN TOKO
20118165|ATK||1|3|7|1,16,24,8|YYYYYYY|1|N||510009|BEBAN PERLENGKAPAN TOKO
20118167|ATK||0|1|1|1,16,24,8|YYYYYYY|1|N||510010|BEBAN PERLENGKAPAN EDP
20118158|ATK||0|3|3|1,16,24,8|YYYYYYY|1|N||510009|BEBAN PERLENGKAPAN TOKO
20052297|PLS||1|3|7|1,16,24,8|YYYYYYY|1|N||510100|BEBAN KANTONG BELANJA
20052301|PLS||1|3|7|1,16,24,8|YYYYYYY|1|N||510100|BEBAN KANTONG BELANJA
20054876|PLS||1|3|7|1,16,24,8|YYYYYYY|1|N||510100|BEBAN KANTONG BELANJA
20118161|ATK||0|1|1|1,16,24,8|YYYYYYY|1|N||510009|BEBAN PERLENGKAPAN TOKO
20118163|ATK||0|1|1|1,16,24,8|YYYYYYY|1|N||510009|BEBAN PERLENGKAPAN TOKO
20118166|ATK||0|1|1|1,16,24,8|YYYYYYY|1|N||510010|BEBAN PERLENGKAPAN EDP
20118173|ATK||0|1|1|1,16,24,8|YYYYYYY|1|N||510009|BEBAN PERLENGKAPAN TOKO
20118154|POT||0|1|1|1,16,24,8|YYYYYYY|1|N||510118|BEBAN PERLENGKAPAN PRODUK KHUSUS
20054879|PLS||1|3|7|1,16,24,8|YYYYYYY|1|N||510100|BEBAN KANTONG BELANJA
20054880|PLS||1|3|7|1,16,24,8|YYYYYYY|1|N||510100|BEBAN KANTONG BELANJA
