FDRCID|FDSUPP|FDKODE|FDKPLU|FDFLAV|FDDESK|FDPLUX
1|S0I7|20071411|20071411|TK02|TKDELI CHOCX AVCD 18|20071412
1|S0I7|20071411|20071411|TK03|TKDELI CHOCX AVCD 18|20071413
1|S0I7|20071411|20071411|TK04|TKDELI CHOCX AVCD 18|20071414
1|S0I7|20071411|20071411|TK05|TKDELI CHOCX AVCD 18|20071415
1|S0I7|20071411|20071411|TK06|TKDELI CHOCX AVCD 18|20071416
1|S0I7|20071411|20071411|TK07|TKDELI CHOCX AVCD 18|20071417
1|S0I7|20071411|20071411|TK08|TKDELI CHOCX AVCD 18|20071418
1|S0I7|20071411|20071411|TK09|TKDELI CHOCX AVCD 18|20071419
1|S0I7|20071411|20071411|TK10|TKDELI CHOCX AVCD 18|20071420
1|S0I7|20071411|20071411|TK11|TKDELI CHOCX AVCD 18|20071421
1|S0I7|20071411|20071411|TK12|TKDELI CHOCX AVCD 18|20071422
1|S0I7|20071411|20071411|TK13|TKDELI CHOCX AVCD 18|20071423
1|S0I7|20071411|20071411|TK14|TKDELI CHOCX AVCD 18|20071424
1|S0I7|20071411|20071411|TK15|TKDELI CHOCX AVCD 18|20071425
1|S0I7|20071411|20071411|TK16|TKDELI CHOCX AVCD 18|20071426
1|S1GY|20033340|20033340|BED SET 180X200CM|A/LND SET101 180X200|AL12
1|S1HA|20033502|20033502|7 LITER|ISA E/PRESSR COOK 7L|IS01
1|S1HA|20033503|20033503|5 LITER|ISA E/PRESSR COOK 5L|IS02
1|S1HA|20054056|20054056|BAZAR 5 LT|ISA ECONO BZR CP 5L|ISA2
1|S1HA|20054057|20054057|BAZAR 7 LT|ISA ECONO BZR CP 7L|ISA3
1|S1HF|20033381|20033381|BLACK GREEN|UNITED SPD A/L SHK12|UB11
1|S1HF|20033381|20033381|BLACK RED|UNITED SPD A/L SHK12|UB09
1|S1HF|20033381|20033381|BLACK YELLOW|UNITED SPD A/L SHK12|UB10
1|S1HF|20033381|20033381|SHARK 12 INCH|UNITED SPD A/L SHK12|UB04
1|S1HF|20033383|20033383|BLACK BLUE|UNTD SPD M/M XC72 26|UB15
1|S1HF|20033383|20033383|BLACK GREEN|UNTD SPD M/M XC72 26|UB17
1|S1HF|20033383|20033383|BLACK RED|UNTD SPD M/M XC72 26|UB16
1|S1HF|20033383|20033383|MIAMI XC72 26 INCH|UNTD SPD M/M XC72 26|UB06
1|S1HF|20039958|20039958|FIXIE 77|UNTD SPD FIXIE SL 77|UB26
1|S1IH|20036689|20036689|BLUE|BESTA KAMUS ID 38|B008
1|S1IH|20036689|20036689|PINK|BESTA KAMUS ID 38|B009
1|S1IH|20036689|20036689|SILVER|BESTA KAMUS ID 38|B007
1|S2AN|20035750|20035750|BLACK FOREST|DOMINO CAKE PRINCESS|D004
1|S2AN|20035750|20035750|CHOCOLATE GATEUX|DOMINO CAKE PRINCESS|D001
1|S2AN|20035750|20035750|LAPIS SURABAYA|DOMINO CAKE PRINCESS|D003
1|S2AN|20035750|20035750|STRAWBERRY|DOMINO CAKE PRINCESS|D002
1|S2AN|20035751|20035751|BLACK FOREST|DOMINO CAKE SPC GIFT|D008
1|S2AN|20035751|20035751|CHOCOLATE GATEUX|DOMINO CAKE SPC GIFT|D005
1|S2AN|20035751|20035751|LAPIS SURABAYA|DOMINO CAKE SPC GIFT|D007
1|S2AN|20035751|20035751|STRAWBERRY|DOMINO CAKE SPC GIFT|D006
1|S2AN|20035752|20035752|BLACK FOREST|DOMINO SPC CAKE 1|D012
