TAT_ID|KD_PLU|TGL_AWAL|TGL_AKHIR|FLAGPROD
5857/TAT/HO/09/2022|20082442|01/09/2022|30/09/2022|
5857/TAT/HO/09/2022|20088174|01/09/2022|30/09/2022|
5857/TAT/HO/09/2022|20091423|01/09/2022|30/09/2022|
5857/TAT/HO/09/2022|20107506|01/09/2022|30/09/2022|
5857/TAT/HO/09/2022|20107507|01/09/2022|30/09/2022|
5857/TAT/HO/09/2022|20107545|01/09/2022|30/09/2022|
5857/TAT/HO/09/2022|20107546|01/09/2022|30/09/2022|
5857/TAT/HO/09/2022|20107657|01/09/2022|30/09/2022|
5857/TAT/HO/09/2022|20110805|01/09/2022|30/09/2022|
5857/TAT/HO/09/2022|20115324|01/09/2022|30/09/2022|
5857/TAT/HO/09/2022|20115325|01/09/2022|30/09/2022|
5857/TAT/HO/09/2022|20115336|01/09/2022|30/09/2022|
5857/TAT/HO/09/2022|20115341|01/09/2022|30/09/2022|
5857/TAT/HO/09/2022|20116923|01/09/2022|30/09/2022|
5857/TAT/HO/09/2022|20119372|01/09/2022|30/09/2022|
5857/TAT/HO/09/2022|20119373|01/09/2022|30/09/2022|
5857/TAT/HO/09/2022|20119374|01/09/2022|30/09/2022|
5857/TAT/HO/09/2022|20119376|01/09/2022|30/09/2022|
5857/TAT/HO/09/2022|20119377|01/09/2022|30/09/2022|
5857/TAT/HO/09/2022|20119378|01/09/2022|30/09/2022|
5857/TAT/HO/09/2022|20119379|01/09/2022|30/09/2022|
5857/TAT/HO/09/2022|20120217|01/09/2022|30/09/2022|
5857/TAT/HO/09/2022|20120218|01/09/2022|30/09/2022|
5857/TAT/HO/09/2022|20121795|01/09/2022|30/09/2022|
5857/TAT/HO/09/2022|20122581|01/09/2022|30/09/2022|
5857/TAT/HO/09/2022|20122590|01/09/2022|30/09/2022|
5857/TAT/HO/09/2022|20122591|01/09/2022|30/09/2022|
5857/TAT/HO/09/2022|20122602|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20023950|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20028006|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20036028|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20036029|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20036030|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20056570|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20056903|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20056904|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20056905|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20056906|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20072155|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20072310|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20072721|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20072722|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20072723|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20073398|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20076298|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20078651|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20079899|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20079902|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20079958|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20080340|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20080341|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20080365|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20083859|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20083860|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20084902|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20088178|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20088179|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20088180|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20088374|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20089922|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20089923|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20093056|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20093057|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20093058|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20093916|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20095779|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20095878|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20095879|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20095880|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20095881|01/09/2022|30/09/2022|
5858/TAT/HO/09/2022|20095882|01/09/2022|30/09/2022|
