TAT_ID|KD_TOKO_PENGIRIM|KD_TOKO_PENERIMA
5857/TAT/HO/09/2022|*|*
5858/TAT/HO/09/2022|*|*
5960/TAT/HO/09/2022|*|*
5859/TAT/HO/09/2022|*|*
5949/TAT/HO/09/2022|*|*
5923/TAT/HO/09/2022|*|*
5860/TAT/HO/09/2022|*|*
5980/TAT/HO/09/2022|*|*
5889/TAT/HO/09/2022|*|*
5987/TAT/HO/09/2022|*|*
5843/TAT/HO/08/2022|*|*
5869/TAT/HO/09/2022|*|*
5867/TAT/HO/09/2022|*|*
5868/TAT/HO/09/2022|*|*
5870/TAT/HO/09/2022|*|*
5815/TAT/HO/08/2022|*|*
5980/TAT/HO/09/2022|TCZ1|TB52
5980/TAT/HO/09/2022|R025|T8IC
5980/TAT/HO/09/2022|TC57|TTUU
5980/TAT/HO/09/2022|T61B|TOW0
5980/TAT/HO/09/2022|T97D|T0MY
5980/TAT/HO/09/2022|T13Q|TK1R
5889/TAT/HO/09/2022|TKLG|TFSV
5889/TAT/HO/09/2022|TKLG|TOW0
5889/TAT/HO/09/2022|TKLG|THHN
5889/TAT/HO/09/2022|TKLG|TT2K
5889/TAT/HO/09/2022|TKLG|TK2R
5889/TAT/HO/09/2022|TKLG|TML2
5889/TAT/HO/09/2022|TKLG|T2DO
5889/TAT/HO/09/2022|TKLG|TJM6
5889/TAT/HO/09/2022|TKLG|TVVL
5889/TAT/HO/09/2022|TKLG|TTXG
5889/TAT/HO/09/2022|TKLG|T7XU
5889/TAT/HO/09/2022|TKLG|T305
5843/TAT/HO/08/2022|TKLG|TML2
5889/TAT/HO/09/2022|TKLG|TK1R
5843/TAT/HO/08/2022|TKLG|TMBT
5843/TAT/HO/08/2022|TKLG|TK2R
5843/TAT/HO/08/2022|TKLG|TT2K
5843/TAT/HO/08/2022|TKLG|THHN
5843/TAT/HO/08/2022|TKLG|TK1R
5843/TAT/HO/08/2022|TKLG|TFSV
5843/TAT/HO/08/2022|TKLG|TOW0
5843/TAT/HO/08/2022|TKLG|TJM6
5843/TAT/HO/08/2022|TKLG|TVVL
5843/TAT/HO/08/2022|TKLG|T7XU
5889/TAT/HO/09/2022|TKLG|T2RO
5889/TAT/HO/09/2022|TKLG|TC28
5889/TAT/HO/09/2022|TKLG|T011
5843/TAT/HO/08/2022|TKLG|T011
5843/TAT/HO/08/2022|TKLG|TC28
5843/TAT/HO/08/2022|TKLG|T2RO
5843/TAT/HO/08/2022|TKLG|T305
5980/TAT/HO/09/2022|T31W|T0MY
5980/TAT/HO/09/2022|TCMJ|TA2S
5980/TAT/HO/09/2022|T71P|TDOB
