SHOP|PLU|DESKRIPSI|CATCODE|RECID|TP_GDG|SUPCO|KONS|FLAGPROD|LIST_PLU_IGR|OFC|POT|WDCP|FLAG_AMBIL_SJ|FLAG_PB|FLAG_PB_OUT|FLAG_NPB_OUT
TI4C||||1|||||0|0|0|0|0|NONCAT DC|Y|Y
TI4C|10000019|INDOMILK,SUSU KENTAL MANIS PUTIH 370g KLG|010201||D|G001||TBJ=N,TBO=N,MDR=1,PCF=Y|0|0|0|0|0|DRY|Y|Y
TI4C|10000020|INDOMILK,SUSU KENTAL MANIS CHOCOLATE 370g KLG|010201||D|||MDR=1|0|0|0|0|0|DRY|Y|Y
TI4C|10000021|CAP ENAK,KENTAL MANIS PUTIH 370g KLG|010201||D|||TBJ=N,GRB=Y,TBO=N,MDR=1,GRB=Y|0|0|0|0|0|DRY|Y|Y
TI4C|10000022|ORCHID,BUTTER  340g KLG|010604|Y|D|||WHK=Y,MDR=2|0|0|0|0|0|DRY|Y|Y
TI4C|10000052|AIM,CRACKERS CRISPY 150g PCK|011104||D|G001||MDR=1|0|0|0|0|0|DRY|Y|Y
TI4C|10000053|TROPICAL,MINYAK GORENG REFILL  1000mL PCH|010601|1|D|||TBJ=Y,TBO=Y,MDR=1|0|0|0|0|0|NONCAT DC|Y|Y
TI4C|10000060|JEMPOL,SAMBAL PEDAS 320mL BTL|010706||D|||MDR=2|0|0|0|0|0|DRY|Y|Y
TI4C|10000069|MIXAGRIP,OBAT SAKIT FLU (4) |021504||D|G001||MDR=1|0|0|0|0|0|DRY|Y|Y
TI4C|10000070|PROMAG,OBAT SAKIT MAAG (12) |021505|1|D|||TBJ=Y,GRB=Y,TBO=Y,MDR=1,GRB=Y|0|0|0|0|0|NONCAT DC|Y|Y
TI4C|10000073|PARAMEX,OBAT SAKIT KEPALA (4) |021503||D|G001||MDR=2|0|0|0|0|0|DRY|Y|Y
TI4C|10000077|BODREX,OBAT SAKIT KEPALA (20) |021503||D|G001||MDR=1|0|0|0|0|0|DRY|Y|Y
TI4C|10000088|FRISIAN FLAG,SUSU KENTAL MANIS COKLAT 370g KLG|010201||D|||MDR=1|0|0|0|0|0|DRY|Y|Y
TI4C|10000090|ABC,BATTERY BIRU R6 4'S |032404||D|||TBJ=N,TBO=N,MDR=1|0|0|0|0|0|DRY|Y|Y
TI4C|10000097|CAP KAPAK,MINYAK ANGIN  10mL BTL|021502||D|||MDR=1|0|0|0|0|0|DRY|Y|Y
TI4C|10000098|CABE,KOYO KECIL 10'S |021501||D|||MDR=1|0|0|0|0|0|DRY|Y|Y
TI4C|10000101|BOTAN,MACKAREL  155g KLG|011005||D|||MDR=1|0|0|0|0|0|DRY|Y|Y
TI4C|10000102|BOTAN,MACKAREL  425g KLG|011005||D|||MDR=1|0|0|0|0|0|DRY|Y|Y
TI4C|10000103|REGAL,MARIE  230g PCK|011105||D|G001||GRB=Y,MDR=1,GRB=Y|0|0|0|0|0|DRY|Y|Y
TI4C|10000104|REGAL,MARIE  120g PCK|011105||D|G001||TBJ=N,TBO=N,MDR=1|0|0|0|0|0|DRY|Y|Y
TI4C|10000105|COCA COLA,SOFT DRINK  330mL KLG|10407|1||||TBJ=N,TBO=N,MDR=2|0|0|0|0|0|NONCAT DC|Y|Y
TI4C|10000107|GREEN SANDS,ORIGINAL LIME & APPLE  330mL KLG|010407||D|G001||MDR=1|0|0|0|0|0|DRY|Y|Y
TI4C|10000111|DELMONTE,FRUIT COCKTAIL  825g KLG|011001|Y|D|||WHK=Y,MDR=2|0|0|0|0|0|DRY|Y|Y
TI4C|10000112|MAINAN,TRIPLE TOPS NO.838 |33002|1|BKL||K||0|0|0|0|0|NONCAT BKL|Y|Y
TI4C|10000116|ABC,SAMBAL  335mL BTL|010706||D|||MDR=1|0|0|0|0|0|DRY|Y|Y
TI4C|10000117|DELMONTE,SAUCE TOMAT  340/330mL BTL|010706|||||MDR=1|0|0|0|0|0||Y|Y
TI4C|10000120|CUSSONS,BABY SOAP MILD & GENTLE 75g BAR|032502||D|||MDR=1|0|0|0|0|0|DRY|Y|Y
TI4C|10000126|VAN HOUTEN,COCOA POWDER  90g BOX|010709||D|||TBJ=N,TBO=N,MDR=3|0|0|0|0|0|DRY|Y|Y
TI4C|10000127|RITZ,CHOCO RICE POLOS/COKLAT 300g KLG|010108|Y|D|||TBJ=N,WHK=Y,TBO=N,MDR=4|0|0|0|0|0|DRY|Y|Y
TI4C|10000128|CERES,HAGELSLAG RICE CHOCO CLASSIC 90/80g PCK|010108||D|G001||TBJ=N,GRB=Y,TBO=N,MDR=1,GRB=Y|0|0|0|0|0|DRY|Y|Y
TI4C|10000129|CERES,HAGELSLAG RICE CHOCO FESTIVE 90/80g PCK|010108||D|||MDR=1|0|0|0|0|0|DRY|Y|Y
TI4C|10000132|MONDE,BISCUIT BUTTER COOKIES  454g KLG|011106||D|||GRB=Y,MDR=1,GRB=Y|0|0|0|0|0|DRY|Y|Y
TI4C|10000133|KHONG GUAN,BISCUIT MINI ASSORTED  650g KLG|011101||D|||GRB=Y,MDR=1,GRB=Y|0|0|0|0|0|DRY|Y|Y
