PRDCD|DESC2|PTAG|MINOR|STOCK_ONHAND|MAX|2xMAX|GUDANG|NAMA_GUDANG|QTY_RETUR|FLAG_SALES|AQTY|BQTY|CQTY
10000425|CAP LANG,MINYAK KAYU PUTIH  60mL BTL|S|2|76|10|20|G001|DC JAKARTA|50|AS|28|23|29
10001826|KHONG GUAN,CRACKERS SALTCHEESE REGULAR 200g PCK||5|38|14|28|G001|DC JAKARTA|5|AS|92|37|28
10003828|QUAKER,INSTANT OATMEAL (REFF) MERAH 200g PCK||3|39|7|14|G001|DC JAKARTA|18|AS|18|18|19
10009160|REDOXON,VITAMIN C TRIPLE ACTION 10'S ||1|80|8|16|G001|DC JAKARTA|58|AS|5|23|16
10025645|ABC,BATTERY ALKALINE 9 VOLT/6LR61 MILLENNIUM PWR||1|15|3|6|G001|DC JAKARTA|3|AS|2|3|2
20013925|MIRANDA,BLEACHING / DECOLORING MC-6 30ml+30g BOX||2|24|8|16|G001|DC JAKARTA|2|AS|0|3|1
20027095|MY BABY,MINYAK TELON PLUS  57/60mL BTL|S|2|39|9|18|G001|DC JAKARTA|14|AS|7|4|4
20040719|FRESH CARE,MINYAK ANGIN AROMA THERAPY STRONG 10mL |S|4|47|10|20|G001|DC JAKARTA|20|AS|16|13|11
20044608|KIT KAT,CHOCOLATE CHUNKY  38g PCK||2|48|7|14|G001|DC JAKARTA|28|AS|18|19|23
20066629|HEMAVITON,HEALTH DRINK C1000 + COLLAGEN ORANGE 150||2|36|14|28|G001|DC JAKARTA|2|AS|36|29|34
20068905|FRISIAN FLAG,SUSU KENTAL MANIS PUTIH 560/545g PCH|E|12|87|18|36|G001|DC JAKARTA|48|AS|20|14|13
20080434|RAW MATERIAL,CARAMEL SYRUP (DC)  750mL BTL|Z|1|17|3|6|G001|DC JAKARTA|5|AS|4|4|3
20081255|KRISBOW,LUGGAGE STRAP LOCK TSA12016|I|1|12|2|4|G001|DC JAKARTA|2|TS|0|0|0
20085975|GOOGLE PLAY,GIFT CARD 100.000,- FISIK NEW ||10|57|11|22|G001|DC JAKARTA|30|TS|0|0|0
20085976|GOOGLE PLAY,GIFT CARD 300.000,- FISIK NEW ||10|50|11|22|G001|DC JAKARTA|20|TS|0|0|0
20086006|GOOGLE PLAY,GIFT CARD 150.000,- FISIK NEW ||10|80|20|40|G001|DC JAKARTA|30|TS|0|0|0
20093143|PANTENE,CONDITIONER TANPA BILAS PERFECT ON 40mL PC|S|6|112|10|20|G001|DC JAKARTA|84|AS|2|2|7
20096603|MOBILE KIOSK,UNIVERSAL TRAVEL ADAPTOR DUAL USB POR|V|1|11|2|4|G001|DC JAKARTA|1|AS|0|1|0
20111008|INDOMARET,MASKER 3PLY EARLOP 5+2'S |V|4|159|8|16|G001|DC JAKARTA|136|AS|54|1|4
20112370|BON CABE,SNACK MAKARONI LEVEL 15 150/135g PCK||2|50|17|34|G001|DC JAKARTA|10|AS|60|83|34
20115171|INDOMARET,BAMBOO FACIAL TISSUE 2PLY  150'S PCK||2|127|12|24|G001|DC JAKARTA|96|AS|20|22|10
20115502|SOBISCO,WAFER GET GIT CHEESE 102GR PCK||2|19|4|8|G001|DC JAKARTA|4|AS|6|9|0
20116752|BIMA S,FIGURIN 17CM MDR AST ||1|24|3|6|G001|DC JAKARTA|12|AS|1|0|0
20117966|POINT COFFEE,STORE BRICKS |I|1|69|5|10|G001|DC JAKARTA|53|AS|2|2|2
20119285|RAW MATERIAL,WHIPPING CREAM N20 |Z|10|1308|49|98|G001|DC JAKARTA|1200|AS|120|137|113
20119866|POKEMON,INDOMARET COLLECTIBLE PROMO CARD|Z|2|22|4|8|G001|DC JAKARTA|8|AS|0|0|1
20119969|KIN,STERILIZED MILK PLAIN 200mL BTL|T|24|99|30|60|G001|DC JAKARTA|24|AS|26|103|15
20120198|MISTER POTATO,SNACK CRISPS GHOST PEPPER SEAWEED 10||2|37|4|8|G001|DC JAKARTA|22|AS|5|5|6
20120831|POKEMON,GAME KARTU HADIAH SERIES 12|Z|2|17|4|8|G001|DC JAKARTA|2|AS|0|1|0
20120912|NESTLE GOODNES,SUSU CAIR UHT KURMA 180mL TPK|T|1|92|29|58|G001|DC JAKARTA|28|AS|31|52|13
20121348|LASEGAR,TWIST JERUK-LEMON 320ml KLG||1|59|13|26|G001|DC JAKARTA|27|AS|29|13|14
