RECID|TIPERAK|NORAK|NOSHELF|KIRIKANAN|DIV|PRDCD|DESC|SINGKAT|BARCODE|BARCODE2|FRAC|UNIT|PTAG|CAT_COD|BKP|SUB_BKP|CTGR|KEMASAN|ACOST|LCOST|RCOST|PRICE|TTL|TTL1|TTL2|SALES|SALES_2|RETUR|RETUR_2|CANCEL_S|BPB|BPB_2|ADJ|RETUR_K|COM|HPP|SOID|EDIT|SOTYPE|SOTGL|SOTIME|ADJDT|ADJTIME|DRAFT|DCP|CTK|JAMDLHSO|JAMLHSO|BACABPB
|A|22644|1|80|02|10000019|INDOMILK SUSU KENTAL MANIS PUTIH 370g KLG|INDOMILK SKM PTH 370|8992702000018||1|CTN|D|010201|T|Y|XX|KLG|8474.93919|8593.721|8474.93919|11400|29|28|1|0|0|0|0|0|0|0|0|0|39|8475|I||1|20-08-2022|15:48:44|01-01-0001||1|1||25-08-2022 13:10:53|25-08-2022 13:10:59|
|A|53384|1|7|02|10000020|INDOMILK SUSU KENTAL MANIS CHOCOLATE 370g KLG|INDOMILK SKM CHO 370|8992702000063||1|CTN||010201|T|Y|XX|KLG|9658.452056|9971.657|9658.452056|11400|3|3|0|0|0|0|0|0|0|0|0|0|4|9658|I||1|20-08-2022|10:11:09|01-01-0001||1|1||25-08-2022 13:10:53|25-08-2022 13:10:59|
|A|53384|1|8|02|10000021|CAP ENAK KENTAL MANIS PUTIH 370g KLG|ENAK K/MNS PUTIH 370|8992702000025||1|CTN|S|010201|T|Y|XX|KLG|7855.268321|7916.569|7855.268321|11000|12|8|4|0|0|0|0|0|0|0|0|0|13|7855|I||1|20-08-2022|10:11:17|01-01-0001||1|1||25-08-2022 13:10:53|25-08-2022 13:10:59|
|A|52894|2|6|06|10000022|ORCHID BUTTER  340g KLG|ORCHID BUTTER 340GR|8992702002210||1|CTN||010604|T|Y|XX|KLG|46329|46329|46329|59800|3|3|0|0|0|0|0|0|0|0|0|0|3|46329|I||1|20-08-2022|11:10:20|01-01-0001||1|1||25-08-2022 13:10:53|25-08-2022 13:10:59|
|A|63524|67|2|11|10000052|AIM CRACKERS CRISPY 150g PCK|AIM CRACK CRISPY 150|8999918181685||1|CTN||011104|T|Y|XX|PCK|6427.615842|6459.966|6330.605367|10200|4|4|0|0|0|0|0|0|0|0|0|0|4|6428|I||1|20-08-2022|10:24:27|01-01-0001||1|1||25-08-2022 13:10:53|25-08-2022 13:10:59|
|A|52894|26|1|07|10000060|JEMPOL SAMBAL PEDAS 320mL BTL|JEMPOL SMBL PDS 320|8992903113203||1|CTN||010706|T|Y|XX|BTL|16021.905411|16069.789|16021.905411|21500|2|2|0|0|0|0|0|0|0|0|0|0|5|16022|I||1|20-08-2022|10:58:53|01-01-0001||1|1||25-08-2022 13:10:53|25-08-2022 13:10:59|
|A|2425|5|6|15|10000069|MIXAGRIP OBAT SAKIT FLU (4) |MIXAGRIP O.SKT FLU4S|8995858999991||1|BOX||021504|T|Y|XX|STR|1973.896497|1980.209|1961.174976|3000|5|5|0|0|0|0|0|0|0|0|0|0|5|1974|I||1|20-08-2022|11:55:37|01-01-0001||1|1||25-08-2022 13:10:53|25-08-2022 13:10:59|
|A|2425|5|4|15|10000073|PARAMEX OBAT SAKIT KEPALA (4) |PARAMEX SKT KEPALA 4|8998667100206||1|BOX||021503|T|Y|XX|STR|1891.5|1891.5|1891.5|2900|4|4|0|0|0|0|0|0|0|0|0|0|4|1892|I||1|20-08-2022|11:55:55|01-01-0001||1|1||25-08-2022 13:10:53|25-08-2022 13:10:59|
|A|2425|5|2|15|10000077|BODREX OBAT SAKIT KEPALA (20) |BODREX SKT KEPALA 20|8999908000200||1|BOX||021503|T|Y|XX|STR|6625.437166|6625.438|6625.434246|9100|5|5|0|0|0|0|0|0|0|0|0|0|5|6625|I||1|20-08-2022|11:56:06|01-01-0001||1|1||25-08-2022 13:10:53|25-08-2022 13:10:59|
|A|53384|1|2|02|10000088|FRISIAN FLAG SUSU KENTAL MANIS COKLAT 370g KLG|FF SKM CKLT KLG 370|8992753102204||1|CTN||010201|T|Y|XX|KLG|9675.443439|10128.521|9675.443439|12500|19|18|1|0|0|0|0|0|0|0|0|0|19|9675|I||1|20-08-2022|10:10:47|01-01-0001||1|1||25-08-2022 13:10:53|25-08-2022 13:10:59|
|A|42933|1|3|24|10000090|ABC BATTERY BIRU R6 4'S |ABC BAT.BIRU R6 4'S|8886022930240|8999801310215|1|CTN|L|032404|T|Y|XX|PCK|8781.89975|8781.9|8781.898|13900|4|3|1|0|0|0|0|0|0|0|0|0|4|8782|I||1|20-08-2022|11:58:44|01-01-0001||1|1||25-08-2022 13:10:53|25-08-2022 13:10:59|
|A|2425|10|11|15|10000097|CAP KAPAK MINYAK ANGIN  10mL BTL|C/KAPAK MNYK ANGIN10|8888115000144|8994472000038|1|LSN||021502|T|Y|XX|BTL|16957.117842|16974.723|16945.38107|21300|4|4|0|0|0|0|0|0|0|0|0|0|4|16957|I||1|20-08-2022|11:39:48|01-01-0001||1|1||25-08-2022 13:10:53|25-08-2022 13:10:59|
|A|2425|3|4|15|10000098|CABE KOYO KECIL 10'S |CABE KOYO KECIL (10)|8993338005033||1|BOX||021501|T|Y|XX|PCK|9915.699245|9915.7|9915.692596|13700|6|6|0|0|0|0|0|0|0|0|0|0|6|9916|I||1|20-08-2022|11:48:32|01-01-0001||1|1||25-08-2022 13:10:53|25-08-2022 13:10:59|
|A|52894|36|3|10|10000101|BOTAN MACKAREL  155g KLG|BOTAN MACKEREL 155G|4902931110185||1|CTN||011005|T|Y|XX|KLG|11372.303868|12057.096|11372.303868|16800|6|6|0|0|0|0|0|0|0|0|0|0|6|11372|I||1|20-08-2022|11:01:03|01-01-0001||1|1||25-08-2022 13:10:53|25-08-2022 13:10:59|
|A|52894|35|3|10|10000102|BOTAN MACKAREL  425g KLG|BOTAN MACKEREL 425G|4902931110178||1|CTN||011005|T|Y|XX|KLG|25584.5302|24077.655237|25584.5302|38500|4|1|3|0|0|0|0|0|0|0|0|0|4|25585|I||1|20-08-2022|11:01:59|01-01-0001||1|1||25-08-2022 13:10:53|25-08-2022 13:10:59|
|A|63524|88|3|11|10000103|REGAL MARIE  230g PCK|REGAL MARIE 230GR|8993039112504||1|CTN||011105|T|Y|XX|PCK|14558.75|14558.75|14558.75|19900|0|0|0|0|0|0|0|0|0|0|0|0|0|14559|I||1|20-08-2022|13:10:51|01-01-0001||1|1||25-08-2022 13:10:53|25-08-2022 13:10:59|N
|A|63524|88|1|11|10000104|REGAL MARIE  120g PCK|REGAL MARIE 120GR|8993039111255||1|CTN|L|011105|T|Y|XX|PCK|7621.770995|7621.771|7621.770995|10900|4|4|0|0|0|0|0|0|0|0|0|0|4|7622|I||1|20-08-2022|10:39:01|01-01-0001||1|1||25-08-2022 13:10:53|25-08-2022 13:10:59|
|A|52873|17|4|04|10000107|GREEN SANDS ORIGINAL LIME & APPLE  330mL KLG|GREEN SAND ORGNL 330|0738989714013|8997225200044|1|CTN||010407|T|Y|XX|KLG|5688.851147|5689|5688.255735|8500|18|9|9|0|0|0|0|0|0|0|0|0|21|5689|I||1|20-08-2022|11:39:59|01-01-0001||1|1||25-08-2022 13:10:53|25-08-2022 13:10:59|
|A|52894|37|4|10|10000111|DELMONTE FRUIT COCKTAIL  825g KLG|DELMONTE F/COCKT 825|0024000010920|8887333090012|1|CTN||011001|T|Y|XX|KLG|48413.333333|49956|48413.333333|64600|3|2|1|0|0|0|0|0|0|0|0|0|3|48413|I||1|20-08-2022|10:59:58|01-01-0001||1|1||25-08-2022 13:10:53|25-08-2022 13:10:59|
|A|52894|26|6|07|10000116|ABC SAMBAL  335mL BTL|ABC SAMBAL BTL 335ML|0711844120013||1|CTN||010706|T|Y|XX|BTL|12520.496691|12522.522|12519.484037|17000|3|3|0|0|0|0|0|0|0|0|0|0|3|12520|I||1|20-08-2022|10:59:09|01-01-0001||1|1||25-08-2022 13:10:53|25-08-2022 13:10:59|
|A|52894|26|11|07|10000117|DELMONTE SAUCE TOMAT  340/330mL BTL|DLMT.SAOS TOMAT 330|0711844135017|8998888710116|1|CTN||010706|T|Y|XX|BTL|9251.894|9251.894|0|12000|4|4|0|0|0|0|0|0|0|0|0|0|4|9252|I||1|20-08-2022|10:59:29|01-01-0001||1|1||25-08-2022 13:10:53|25-08-2022 13:10:59|
|A|52905|6|13|25|10000120|CUSSONS BABY SOAP MILD & GENTLE 75g BAR|CUSSON B/SOAP MILD75|8888103200013||1|CTN||032502|T|Y|XX|BAR|3149.984889|3149.998|3079.365149|5500|6|6|0|0|0|0|0|0|0|0|0|0|6|3150|I||1|20-08-2022|10:36:04|01-01-0001||1|1||25-08-2022 13:10:53|25-08-2022 13:10:59|
|A|52894|11|7|07|10000126|VAN HOUTEN COCOA POWDER  90g BOX|VHT.COCOA POWDER 90G|8991001400024||1|CTN|T|010709|T|Y|XX|BOX|16064.565981|16066.597|16061.782732|23500|4|4|0|0|0|0|0|0|0|0|0|0|4|16065|I||1|20-08-2022|11:15:20|01-01-0001||1|1||25-08-2022 13:10:53|25-08-2022 13:10:59|
|A|52896|3|1|01|10000127|RITZ CHOCO RICE POLOS/COKLAT 300g KLG|RITZ CHO.RICE PLS300|8991001301109||1|CTN|T|010108|T|Y|XX|KLG|31076|31076|31075.103934|41100|3|3|0|0|0|0|0|0|0|0|0|0|3|31076|I||1|20-08-2022|10:51:34|01-01-0001||1|1||25-08-2022 13:10:53|25-08-2022 13:10:59|
|A|52896|2|4|01|10000128|CERES HAGELSLAG RICE CHOCO CLASSIC 90/80g PCK|CERES RICE CLASSIC80|8991001301017||1|BOX|D|010108|T|Y|XX|PCK|7375.487073|7375.5|7375.19836|10000|6|6|0|0|0|0|0|0|0|0|0|0|6|7375|I||1|20-08-2022|10:51:58|01-01-0001||1|1||25-08-2022 13:10:53|25-08-2022 13:10:59|
|A|52896|1|3|01|10000129|CERES HAGELSLAG RICE CHOCO FESTIVE 90/80g PCK|CERES RICE FESTIVE80|8991001301024||1|BOX||010108|T|Y|XX|PCK|7375.5|7375.5|7375.5|10000|2|2|0|0|0|0|0|0|0|0|0|0|4|7376|I||1|20-08-2022|10:52:15|01-01-0001||1|1||25-08-2022 13:10:53|25-08-2022 13:10:59|
