TOKO|TANGGAL|RECID|SUPCO|NAMA|LEAD|PKP|DATANG|MINOR_RP|MINOR_QTY|SS|LT|JADWAL|FK|KAPASITAS|ADDID|ADDTIME|UPDID|UPDTIME|PB_OTO|STATUS_RETUR|FLAG_AMBIL_SJ
TI4C|2022-08-16 ||S11J|SO GOOD FOOD PT.(CKG BKL)|0|Y| Y Y Y|0|0|0|6|NNYNNNN|1|0|TRF(SUP26082T.CSV)|2022-08-26 13:23:49|||Y|RT|
TI4C|2022-08-16 ||S1Q2|TIGARAKSA SATRIA PT. (BKL)|0|Y| Y  Y|0|0|0|6|YNNNNNN|1|0|TRF(SUP26082T.CSV)|2022-08-26 13:23:49|||Y|RT|
TI4C|2022-08-16 ||S2SG|MACROSENTRA NIAGABOGA PT.(BKL)|0|Y| Y  Y|0|0|0|6|NNYNNNN|1|0|TRF(SUP26082T.CSV)|2022-08-26 13:23:49|||Y|RT|
TI4C|2022-08-16 ||S549|CHAROEN POKPHAND INDONESIA TBK PT.(BKL)|0|Y| Y  Y|0|0|0|6|NNNNYNN|1|0|TRF(SUP26082T.CSV)|2022-08-26 13:23:49|||Y|RT|
TI4C|2022-08-16 ||S5AS|RUANGAN PENDINGIN INDONESIA PT.|0|Y| YYYYYY|0|0|0|6|NYNNNNN|1|0|TRF(SUP26082T.CSV)|2022-08-26 13:23:49|||Y|RT|
TI4C|2022-08-16 ||S5YR|SO GOOD FOOD PT.(FROZEN)|0|Y| YYYYYY|0|0|0|6|NNYNNNN|1|0|TRF(SUP26082T.CSV)|2022-08-26 13:23:49|||Y|RT|
TI4C|2022-08-16 ||S64C|SAYAP MAS UTAMA PT.(GLICO) (BKL)|0|Y| YYYYYY|0|0|7|6|NNNNNNY|1|0|TRF(SUP26082T.CSV)|2022-08-26 13:23:49|||Y|RT|
TI4C|2022-08-16 ||S9TO|MASUYA GRAHA TRIKENCANA PT.(BKL)|0|Y| YYYYYY|0|0|0|4|NYNNYNN|2|0|TRF(SUP26082T.CSV)|2022-08-26 13:23:49|||Y|RT|
TI4C|2022-08-16 ||SAX2|INTI IDOLA ANUGERAH PT.( I ) (BKL)|0|Y| YYYYYY|0|0|7|4|NNNNNYN|1|0|TRF(SUP26082T.CSV)|2022-08-26 13:23:49|||Y|PT|Y
TI4C|2022-08-16 ||SCVN|ICE CREAM YOULIKE PT.|0|Y| YYYYYY|0|0|0|6|NNNYNNN|1|0|TRF(SUP26082T.CSV)|2022-08-26 13:23:49|||Y|RT|
