RECID|RTYPE|DOCNO|SEQNO|DIV|PRDCD|QTY|PRICE|GROSS|CTERM|DOCNO2|ISTYPE|INVNO|TOKO|DATE|DATE2|KETERANGAN|PTAG|CAT_COD|LOKASI|TGL1|TGL2|PPN|TOKO_1|DATE3|DOCNO3|SHOP|PRICE_IDM|PPNBM_IDM|PPNRP_IDM|LT|RAK|BAR|BKP|SUB_BKP|PLUMD|GROSS_JUAL|PRICE_JUAL|KODE_SUPPLIER|DISC05|RATE_PPN|JAM
|X|172797|1|74|20106358|-1|7727.27|-7727|0|3573|BA|3573|SI7C|220816|0|BA RTE ||067401|01|16-08-2022|16-08-2022|0.0000000|||0|TI4C|7727.270|0.000|0.000||||T|Y||-7727|7727.27|50677|0.0000|0|06:50:45
|X|172797|1|74|20106360|-1|7727.27|-7727|0|3573|BA|3573|SI7C|220816|0|BA RTE ||067401|01|16-08-2022|16-08-2022|0.0000000|||0|TI4C|7727.270|0.000|0.000||||T|Y||-7727|7727.27|50677|0.0000|0|06:50:47
|X|172799|1|37|20078594|-10|5100.00|-51000|1|172799|KO|0|TI4C|220816|0|KONVERSI NKL|Z|043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|5100.000|0.000|561.000||||T|Y|20078594|0|0.00||0.0000|0|06:53:46
|X|172800|1|37|20078595|10|5100.00|51000|1|172800|KO|0|TI4C|220816|0|KONVERSI NKL||043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|5100.000|0.000|561.000||||T|Y|20078595|0|0.00||0.0000|0|06:53:47
|X|172800|1|37|20100078|-1|3000.00|-3000|1|3574|BA|3574|S704|220816|0|BA RTE ||043706|01|16-08-2022|16-08-2022|0.0000000|||0|TI4C|3000.000|0.000|0.000||||T|Y||-3000|3000.00|10530|0.0000|0|06:57:48
|X|172800|1|37|20100110|-3|4750.00|-14250|1|3574|BA|3574|S704|220816|0|BA RTE ||043706|01|16-08-2022|16-08-2022|0.0000000|||0|TI4C|4750.000|0.000|0.000||||T|Y||-14250|4750.00|10530|0.0000|0|06:57:51
|X|172800|1|37|20100351|-1|4750.00|-4750|1|3574|BA|3574|S704|220816|0|BA RTE ||043706|01|16-08-2022|16-08-2022|0.0000000|||0|TI4C|4750.000|0.000|0.000||||T|Y||-4750|4750.00|10530|0.0000|0|06:57:58
|X|172800|1|37|20100362|-1|4750.00|-4750|1|3574|BA|3574|S704|220816|0|BA RTE ||043706|01|16-08-2022|16-08-2022|0.0000000|||0|TI4C|4750.000|0.000|0.000||||T|Y||-4750|4750.00|10530|0.0000|0|06:57:59
|X|172800|1|37|20100365|-2|6250.00|-12500|1|3574|BA|3574|S704|220816|0|BA RTE ||043706|01|16-08-2022|16-08-2022|0.0000000|||0|TI4C|6250.000|0.000|0.000||||T|Y||-12500|6250.00|10530|0.0000|0|06:58:03
|X|172800|1|37|20108493|-1|6250.00|-6250|1|3574|BA|3574|S704|220816|0|BA RTE ||043706|01|16-08-2022|16-08-2022|0.0000000|||0|TI4C|6250.000|0.000|0.000||||T|Y||-6250|6250.00|10530|0.0000|0|06:58:12
|X|172800|1|37|20122050|-1|6250.00|-6250|1|3574|BA|3574|S704|220816|0|BA RTE ||043706|01|16-08-2022|16-08-2022|0.0000000|||0|TI4C|6250.000|0.000|0.000||||T|Y||-6250|6250.00|10530|0.0000|0|06:58:15
|X|172801|1|37|20084155|-6|4700.00|-28200|1|172801|KO|0|TI4C|220816|0|KONVERSI NKL|Z|043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|4700.000|0.000|517.000||||T|Y|20084155|0|0.00||0.0000|0|06:53:57
|X|172802|1|37|20071451|6|4700.00|28200|1|172802|KO|0|TI4C|220816|0|KONVERSI NKL||043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|4700.000|0.000|517.000||||T|Y|20071451|0|0.00||0.0000|0|06:53:58
|X|172804|1|37|20073177|-10|3550.00|-35500|1|172804|KO|0|TI4C|220816|0|KONVERSI NKL|Z|043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|3550.000|0.000|390.000||||T|Y|20073177|0|0.00||0.0000|0|07:01:00
|X|172805|1|37|20071468|10|3550.00|35500|1|172805|KO|0|TI4C|220816|0|KONVERSI NKL|G|043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|3550.000|0.000|390.000||||T|Y|20071468|0|0.00||0.0000|0|07:01:02
|X|172807|1|37|20062727|-1|6420.00|-6420|1|3575|BA|3575|S5RB|220816|0|BA RTE ||043707|01|16-08-2022|16-08-2022|0.0000000|||0|TI4C|6420.000|0.000|0.000||||T|Y||-6420|6420.00|35940|0.0000|0|07:05:28
|X|172807|1|37|20069523|-1|6420.00|-6420|1|3575|BA|3575|S5RB|220816|0|BA RTE ||043707|01|16-08-2022|16-08-2022|0.0000000|||0|TI4C|6420.000|0.000|0.000||||T|Y||-6420|6420.00|35940|0.0000|0|07:05:34
|X|172807|1|37|20072207|-2|5665.00|-11330|1|3575|BA|3575|S8W8|220816|0|BA RTE ||043707|01|16-08-2022|16-08-2022|0.0000000|||0|TI4C|5665.000|0.000|0.000||||T|Y||-11330|5665.00|32504|0.0000|0|07:05:41
|X|172807|1|37|20079892|-2|6420.00|-12840|1|3575|BA|3575|S5RB|220816|0|BA RTE ||043707|01|16-08-2022|16-08-2022|0.0000000|||0|TI4C|6420.000|0.000|0.000||||T|Y||-12840|6420.00|35940|0.0000|0|07:05:45
|X|172807|1|37|20091584|-1|5665.00|-5665|1|3575|BA|3575|S8W8|220816|0|BA RTE ||043707|01|16-08-2022|16-08-2022|0.0000000|||0|TI4C|5665.000|0.000|0.000||||T|Y||-5665|5665.00|32504|0.0000|0|07:05:47
|X|172807|1|37|20092839|-1|6420.00|-6420|1|3575|BA|3575|S5RB|220816|0|BA RTE ||043707|01|16-08-2022|16-08-2022|0.0000000|||0|TI4C|6420.000|0.000|0.000||||T|Y||-6420|6420.00|35940|0.0000|0|07:05:49
|X|172807|1|37|20094561|-3|6420.00|-19260|1|3575|BA|3575|S5RB|220816|0|BA RTE ||043707|01|16-08-2022|16-08-2022|0.0000000|||0|TI4C|6420.000|0.000|0.000||||T|Y||-19260|6420.00|35940|0.0000|0|07:05:51
|X|172807|1|37|20094717|-2|6420.00|-12840|1|3575|BA|3575|S5RB|220816|0|BA RTE ||043707|01|16-08-2022|16-08-2022|0.0000000|||0|TI4C|6420.000|0.000|0.000||||T|Y||-12840|6420.00|35940|0.0000|0|07:05:55
|X|172807|1|37|20098664|-1|6420.00|-6420|1|3575|BA|3575|S5RB|220816|0|BA RTE ||043707|01|16-08-2022|16-08-2022|0.0000000|||0|TI4C|6420.000|0.000|0.000||||T|Y||-6420|6420.00|35940|0.0000|0|07:05:57
|X|172807|1|37|20113979|-2|6750.00|-13500|1|3575|BA|3575|S0B2|220816|0|BA RTE ||043707|01|16-08-2022|16-08-2022|0.0000000|||0|TI4C|6750.000|0.000|0.000||||T|Y||-13500|6750.00|34514|0.0000|0|07:06:00
|X|172807|1|37|20115802|-2|6420.00|-12840|1|3575|BA|3575|S0B2|220816|0|BA RTE ||043707|01|16-08-2022|16-08-2022|0.0000000|||0|TI4C|6420.000|0.000|0.000||||T|Y||-12840|6420.00|34514|0.0000|0|07:06:02
|X|172810|1|37|20073168|-8|5950.00|-47600|1|172810|KO|0|TI4C|220816|0|KONVERSI NKL|Z|043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|5950.000|0.000|654.000||||T|Y|20073168|0|0.00||0.0000|0|07:11:24
|X|172810|1|37|20100074|-2|5000.00|-10000|1|3576|BA|3576|SG2L|220816|0|BA RTE ||043706|01|16-08-2022|16-08-2022|0.0000000|||0|TI4C|5000.000|0.000|0.000||||T|Y||-10000|5000.00|46547|0.0000|0|07:10:57
|X|172810|1|37|20100118|-6|4800.00|-28800|1|3576|BA|3576|SG2L|220816|0|BA RTE ||043706|01|16-08-2022|16-08-2022|0.0000000|||0|TI4C|4800.000|0.000|0.000||||T|Y||-28800|4800.00|46547|0.0000|0|07:10:58
|X|172810|1|37|20100128|-1|4800.00|-4800|1|3576|BA|3576|SG2L|220816|0|BA RTE ||043706|01|16-08-2022|16-08-2022|0.0000000|||0|TI4C|4800.000|0.000|0.000||||T|Y||-4800|4800.00|46547|0.0000|0|07:11:00
|X|172813|1|37|20048886|8|5950.00|47600|1|172813|KO|0|TI4C|220816|0|KONVERSI NKL||043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|5950.000|0.000|654.000||||T|Y|20048886|0|0.00||0.0000|0|07:11:26
|X|172814|1|37|20073180|-10|4900.00|-49000|1|172814|KO|0|TI4C|220816|0|KONVERSI NKL|Z|043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|4900.000|0.000|539.000||||T|Y|20073180|0|0.00||0.0000|0|07:11:50
|X|172815|1|37|20076651|10|4900.00|49000|1|172815|KO|0|TI4C|220816|0|KONVERSI NKL||043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|4900.000|0.000|539.000||||T|Y|20076651|0|0.00||0.0000|0|07:11:52
|X|172816|1|37|20078580|-3|6450.00|-19350|1|172816|KO|0|TI4C|220816|0|KONVERSI NKL|Z|043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|6450.000|0.000|710.000||||T|Y|20078580|0|0.00||0.0000|0|07:12:08
|X|172817|1|37|20078581|3|6450.00|19350|1|172817|KO|0|TI4C|220816|0|KONVERSI NKL||043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|6450.000|0.000|710.000||||T|Y|20078581|0|0.00||0.0000|0|07:12:09
|X|172818|1|37|20087466|-10|5450.00|-54500|1|172818|KO|0|TI4C|220816|0|KONVERSI NKL|Z|043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|5450.000|0.000|600.000||||T|Y|20087466|0|0.00||0.0000|0|07:12:42
|X|172819|1|37|20087467|10|5450.00|54500|1|172819|KO|0|TI4C|220816|0|KONVERSI NKL||043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|5450.000|0.000|600.000||||T|Y|20087467|0|0.00||0.0000|0|07:12:44
|X|172820|1|37|20078582|-10|4900.00|-49000|1|172820|KO|0|TI4C|220816|0|KONVERSI NKL|Z|043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|4900.000|0.000|539.000||||T|Y|20078582|0|0.00||0.0000|0|07:13:51
|X|172821|1|65|20052331|-1|7300.00|-7300|0|3577|BA|3577|SAX2|220816|0|BA RTE ||066501|01|16-08-2022|16-08-2022|0.0000000|||0|TI4C|7300.000|0.000|0.000||||T|Y||-7300|7300.00|20436|0.0000|0|07:16:44
|X|172821|1|37|20078583|10|4900.00|49000|1|172821|KO|0|TI4C|220816|0|KONVERSI NKL||043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|4900.000|0.000|539.000||||T|Y|20078583|0|0.00||0.0000|0|07:13:53
|X|172821|1|65|20104544|-2|7300.00|-14600|0|3577|BA|3577|SAX2|220816|0|BA RTE ||066501|01|16-08-2022|16-08-2022|0.0000000|||0|TI4C|7300.000|0.000|0.000||||T|Y||-14600|7300.00|20436|0.0000|0|07:16:58
|X|172821|1|65|20120498|-1|7300.00|-7300|0|3577|BA|3577|SAX2|220816|0|BA RTE ||066501|01|16-08-2022|16-08-2022|0.0000000|||0|TI4C|7300.000|0.000|0.000||||T|Y||-7300|7300.00|20436|0.0000|0|07:17:04
|X|172821|1|59|20120576|-1|9000.00|-9000|0|3577|BA|3577|SAX2|220816|0|BA RTE |Z|065901|01|16-08-2022|16-08-2022|0.0000000|||0|TI4C|9000.000|0.000|0.000||||T|Y||-9000|9000.00|20436|0.0000|0|07:17:05
|X|172821|1|59|20120579|-2|11000.00|-22000|0|3577|BA|3577|SAX2|220816|0|BA RTE |Z|065901|01|16-08-2022|16-08-2022|0.0000000|||0|TI4C|11000.000|0.000|0.000||||T|Y||-22000|11000.00|20436|0.0000|0|07:17:08
|X|172822|1|37|20084153|-12|4500.00|-54000|1|172822|KO|0|TI4C|220816|0|KONVERSI NKL|Z|043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|4500.000|0.000|495.000||||T|Y|20084153|0|0.00||0.0000|0|07:14:05
|X|172823|1|37|20071450|12|4500.00|54000|1|172823|KO|0|TI4C|220816|0|KONVERSI NKL||043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|4500.000|0.000|495.000||||T|Y|20071450|0|0.00||0.0000|0|07:14:06
|X|172824|1|37|20084155|-6|4700.00|-28200|1|172824|KO|0|TI4C|220816|0|KONVERSI NKL|Z|043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|4700.000|0.000|517.000||||T|Y|20084155|0|0.00||0.0000|0|07:14:21
|X|172825|1|37|20071451|6|4700.00|28200|1|172825|KO|0|TI4C|220816|0|KONVERSI NKL||043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|4700.000|0.000|517.000||||T|Y|20071451|0|0.00||0.0000|0|07:14:22
|X|172826|1|37|20084156|-10|2000.00|-20000|1|172826|KO|0|TI4C|220816|0|KONVERSI NKL|Z|043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|2000.000|0.000|220.000||||T|Y|20084156|0|0.00||0.0000|0|07:14:32
|X|172827|1|37|20071968|10|2000.00|20000|1|172827|KO|0|TI4C|220816|0|KONVERSI NKL|G|043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|2000.000|0.000|220.000||||T|Y|20071968|0|0.00||0.0000|0|07:14:33
|X|172828|1|37|20084157|-2|6300.00|-12600|1|172828|KO|0|TI4C|220816|0|KONVERSI NKL|Z|043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|6300.000|0.000|693.000||||T|Y|20084157|0|0.00||0.0000|0|07:14:42
|X|172829|1|37|20071464|2|6300.00|12600|1|172829|KO|0|TI4C|220816|0|KONVERSI NKL|G|043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|6300.000|0.000|693.000||||T|Y|20071464|0|0.00||0.0000|0|07:14:43
|X|172830|1|37|20088553|-6|5350.00|-32100|1|172830|KO|0|TI4C|220816|0|KONVERSI NKL|Z|043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|5350.000|0.000|588.000||||T|Y|20088553|0|0.00||0.0000|0|07:15:00
|X|172831|1|37|20088554|6|5350.00|32100|1|172831|KO|0|TI4C|220816|0|KONVERSI NKL||043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|5350.000|0.000|588.000||||T|Y|20088554|0|0.00||0.0000|0|07:15:02
|X|172832|1|37|20090957|-3|5050.00|-15150|1|172832|KO|0|TI4C|220816|0|KONVERSI NKL|Z|043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|5050.000|0.000|556.000||||T|Y|20090957|0|0.00||0.0000|0|07:15:15
|X|172833|1|37|20090958|3|5050.00|15150|1|172833|KO|0|TI4C|220816|0|KONVERSI NKL||043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|5050.000|0.000|556.000||||T|Y|20090958|0|0.00||0.0000|0|07:15:16
|X|172834|1|37|20106021|-8|8750.00|-70000|1|172834|KO|0|TI4C|220816|0|KONVERSI NKL|Z|043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|8750.000|0.000|962.000||||T|Y|20106021|0|0.00||0.0000|0|07:15:31
|X|172835|1|37|20120394|8|8750.00|70000|1|172835|KO|0|TI4C|220816|0|KONVERSI NKL|Z|043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|8750.000|0.000|962.000||||T|Y|20120394|0|0.00||0.0000|0|07:15:32
|X|172836|1|37|20109802|-3|6000.00|-18000|1|172836|KO|0|TI4C|220816|0|KONVERSI NKL|Z|043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|6000.000|0.000|660.000||||T|Y|20109802|0|0.00||0.0000|0|07:15:43
